gene_a,gene_b,cell_line,interaction,user_question,experiment_instruction,full_query
EGFR,PARP11,MCF10A,synthetic lethality,"We've engineered MCF10A cells with mutations in both EGFR and PARP11. Could you tell me if there's any synthetic genetic interaction between these two genes in this epithelial cell line, and what the nature of that interaction might be?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered MCF10A cells with mutations in both EGFR and PARP11. Could you tell me if there's any synthetic genetic interaction between these two genes in this epithelial cell line, and what the nature of that interaction might be? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
MRE11,KDM1A,MCF10A,synthetic lethality,We've engineered a double mutant with disruptions in both MRE11 and KDM1A genes in our MCF10A mammary epithelial cell line. Can you tell me what synthetic genetic interaction might exist between these two mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a double mutant with disruptions in both MRE11 and KDM1A genes in our MCF10A mammary epithelial cell line. Can you tell me what synthetic genetic interaction might exist between these two mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
POLB,ATR,MCF10A,synthetic lethality,"We've generated loss-of-function mutations in both POLB and ATR in our MCF10A epithelial cell line. Can you tell me what synthetic genetic interaction would be expected between these two mutations, if any?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've generated loss-of-function mutations in both POLB and ATR in our MCF10A epithelial cell line. Can you tell me what synthetic genetic interaction would be expected between these two mutations, if any? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PRKDC,EGFR,MCF10A,synthetic lethality,"We've engineered a dual knockout of PRKDC and EGFR in our MCF10A mammary epithelial cells. Could you tell me what synthetic genetic interaction, if any, would occur between these two genes in this cell line?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a dual knockout of PRKDC and EGFR in our MCF10A mammary epithelial cells. Could you tell me what synthetic genetic interaction, if any, would occur between these two genes in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
EGFR,NF1,MCF10A,synthetic lethality,We've been studying the effects of concurrent mutations in EGFR and NF1 genes in the MCF10A mammary epithelial cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've been studying the effects of concurrent mutations in EGFR and NF1 genes in the MCF10A mammary epithelial cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
DGKA,GNAS,MCF10A,synthetic lethality,We're studying the effects of simultaneously knocking out DGKA and GNAS in MCF10A mammary epithelial cells. I'm wondering if there's any synthetic genetic interaction between these two genes in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're studying the effects of simultaneously knocking out DGKA and GNAS in MCF10A mammary epithelial cells. I'm wondering if there's any synthetic genetic interaction between these two genes in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
SMARCA4,UBA2,MCF10A,synthetic lethality,"We are exploring double mutants of SMARCA4 and UBA2 in the MCF10A mammary epithelial cell line. Could you determine if there is any synthetic genetic interaction between these two mutations, and what would be the nature of this interaction?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We are exploring double mutants of SMARCA4 and UBA2 in the MCF10A mammary epithelial cell line. Could you determine if there is any synthetic genetic interaction between these two mutations, and what would be the nature of this interaction? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
ERCC3,FAT1,MCF10A,synthetic lethality,We're investigating the effects of concurrent ERCC3 and FAT1 mutations in MCF10A mammary epithelial cells. Can you tell me what synthetic genetic interaction might exist between these two genes in this cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating the effects of concurrent ERCC3 and FAT1 mutations in MCF10A mammary epithelial cells. Can you tell me what synthetic genetic interaction might exist between these two genes in this cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PARP3,RAD17,MCF10A,synthetic lethality,"We've engineered a double knockout of PARP3 and RAD17 in our MCF10A mammary epithelial cells. Could you tell me if there's any synthetic genetic interaction between these mutations, and what the nature of this interaction might be?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a double knockout of PARP3 and RAD17 in our MCF10A mammary epithelial cells. Could you tell me if there's any synthetic genetic interaction between these mutations, and what the nature of this interaction might be? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
XRCC1,USP1,MCF10A,synthetic lethality,We've engineered a double mutation affecting both XRCC1 and USP1 in the MCF10A mammary epithelial cell line. Could you determine what synthetic genetic interaction exists between these mutations in this cellular context?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a double mutation affecting both XRCC1 and USP1 in the MCF10A mammary epithelial cell line. Could you determine what synthetic genetic interaction exists between these mutations in this cellular context? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
