gene_a,gene_b,cell_line,interaction,user_question,experiment_instruction,full_query
SMARCA4,ERCC4,MDAMB231,synthetic lethality,"We've engineered MDAMB231 cells with concurrent mutations in SMARCA4 and ERCC4. Can you determine if there is any synthetic genetic interaction between these two mutations in this breast cancer cell line, and what the nature of this interaction might be?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered MDAMB231 cells with concurrent mutations in SMARCA4 and ERCC4. Can you determine if there is any synthetic genetic interaction between these two mutations in this breast cancer cell line, and what the nature of this interaction might be? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
XRCC1,UHRF1,MDAMB231,synthetic lethality,We're examining the effects of simultaneous mutations in XRCC1 and UHRF1 genes in the MDAMB231 breast cancer cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're examining the effects of simultaneous mutations in XRCC1 and UHRF1 genes in the MDAMB231 breast cancer cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
ERCC2,BRAF,MDAMB231,synthetic lethality,We've recently generated MDAMB231 cells with co-occurring mutations in ERCC2 and BRAF. Could you explain the synthetic genetic interaction between these two genes in this breast cancer cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've recently generated MDAMB231 cells with co-occurring mutations in ERCC2 and BRAF. Could you explain the synthetic genetic interaction between these two genes in this breast cancer cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
RAD51,SF3B1,MDAMB231,synthetic lethality,"We've engineered a MDAMB231 cell line with mutations in both RAD51 and SF3B1. I'm interested in determining what synthetic genetic interaction exists, if any, between these two mutations in this triple-negative breast cancer model.","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered a MDAMB231 cell line with mutations in both RAD51 and SF3B1. I'm interested in determining what synthetic genetic interaction exists, if any, between these two mutations in this triple-negative breast cancer model. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
POLE,AHR,MDAMB231,synthetic lethality,We have created a MDAMB231 cell line carrying mutations in both POLE and AHR genes. I'm interested in understanding if there is any synthetic genetic interaction between these two mutations and what the nature of this interaction might be.,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We have created a MDAMB231 cell line carrying mutations in both POLE and AHR genes. I'm interested in understanding if there is any synthetic genetic interaction between these two mutations and what the nature of this interaction might be. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
HDAC6,KRAS,MDAMB231,synthetic lethality,We've engineered MDAMB231 cells with mutations in both HDAC6 and KRAS. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what the phenotypic consequences might be in this triple-negative breast cancer model.,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered MDAMB231 cells with mutations in both HDAC6 and KRAS. I'm interested in understanding if there's any synthetic genetic interaction between these two mutations and what the phenotypic consequences might be in this triple-negative breast cancer model. Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
KRAS,PARP8,MDAMB231,synthetic lethality,We've generated mutations in both KRAS and PARP8 genes in our MDAMB231 cell line. Could you determine if there is any synthetic genetic interaction between these two mutations and what the nature of this interaction might be?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've generated mutations in both KRAS and PARP8 genes in our MDAMB231 cell line. Could you determine if there is any synthetic genetic interaction between these two mutations and what the nature of this interaction might be? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
PARP1,SIRT6,MDAMB231,synthetic lethality,We're investigating a dual mutation involving PARP1 and SIRT6 in the MDAMB231 triple-negative breast cancer cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We're investigating a dual mutation involving PARP1 and SIRT6 in the MDAMB231 triple-negative breast cancer cell line. Could you tell me what synthetic genetic interaction might exist between these two mutations? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
FGFR2,STK11,MDAMB231,synthetic lethality,We've engineered MDAMB231 cells with mutations in both FGFR2 and STK11. Could you tell me what synthetic genetic interaction might exist between these two genes in this breast cancer cell line?,"Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've engineered MDAMB231 cells with mutations in both FGFR2 and STK11. Could you tell me what synthetic genetic interaction might exist between these two genes in this breast cancer cell line? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
EGFR,KRAS,MDAMB231,synthetic lethality,"We've created a dual mutation model targeting both EGFR and KRAS genes in our MDAMB231 breast cancer cell line. Can you determine if there is any synthetic genetic interaction between these two mutations, and if so, what's the nature of this interaction?","Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist.","We've created a dual mutation model targeting both EGFR and KRAS genes in our MDAMB231 breast cancer cell line. Can you determine if there is any synthetic genetic interaction between these two mutations, and if so, what's the nature of this interaction? Use DepMap data to retrieve correlation metrics reflecting the co-dependency of the gene pair on cell viability. Next, perform pathway enrichment analysis with Enrichr to identify whether pathways associated with cell viability are significantly enriched and could be impacted by the gene pair. Synthesize the DepMap and Enrichr results, evaluate whether the combined perturbation of these genes is likely to induce a significant effect on cell viability, and find literature support if exist."
