gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
BLM,AQR,BS|RECQ2|RECQL2|RECQL3,IBP160|fSAP164,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
PTTG1,DHFR,EAP1|HPTTG|PTTG|TUTR1,DHFRP1|DYR,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,VCP,BS|RECQ2|RECQL2|RECQL3,ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,THOC1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,HPR1|P84|P84N5,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,MMS22L,BS|RECQ2|RECQL2|RECQL3,C6orf167|dJ39B17.2,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,TAF1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,BA2R|CCG1|CCGS|DYT3|DYT3/TAF1|KAT4|N-TAF1|NSCL2|OF|P250|TAF(II)250|TAF2A|TAFII-250|TAFII250|XDP,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
KRAS,MAP2K1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CFC3|MAPKK1|MEK1|MKK1|PRKMK1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,ELK4,BS|RECQ2|RECQL2|RECQL3,SAP1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPS14,BS|RECQ2|RECQL2|RECQL3,EMTB|S14,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,ICK,BS|RECQ2|RECQL2|RECQL3,ECO|LCK2|MRK,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,XIAP,BS|RECQ2|RECQL2|RECQL3,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,SNRNP200,BS|RECQ2|RECQL2|RECQL3,ASCC3L1|BRR2|HELIC2|RP33|U5-200KD,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,POU3F3,BS|RECQ2|RECQL2|RECQL3,BRN1|OTF8,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,SUPT5H,BS|RECQ2|RECQL2|RECQL3,SPT5|SPT5H|Tat-CT1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPS27A,BS|RECQ2|RECQL2|RECQL3,CEP80|HEL112|S27A|UBA80|UBC|UBCEP1|UBCEP80,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,ACTR5,BS|RECQ2|RECQL2|RECQL3,Arp5|INO80M,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPL37,BS|RECQ2|RECQL2|RECQL3,L37,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RAD23B,BS|RECQ2|RECQL2|RECQL3,HHR23B|HR23B|P58,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,TRIM15,BS|RECQ2|RECQL2|RECQL3,RNF93|ZNF178|ZNFB7,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,TRIM8,BS|RECQ2|RECQL2|RECQL3,GERP|RNF27,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RAD51,BS|RECQ2|RECQL2|RECQL3,BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,TREX2,BS|RECQ2|RECQL2|RECQL3,-,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPL14,BS|RECQ2|RECQL2|RECQL3,CAG-ISL-7|CTG-B33|L14|RL14|hRL14,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RREB1,BS|RECQ2|RECQL2|RECQL3,FINB|HNT|LZ321|RREB-1|Zep-1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,RPL7,BS|RECQ2|RECQL2|RECQL3,L7|humL7-1,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
BLM,ALDH3B1,BS|RECQ2|RECQL2|RECQL3,ALDH4|ALDH7,HCT-116 cell,Growth abnormality,shRNA|siRNA,synthetic growth defect
