gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
KRAS,PIK3CA,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha,HCT-116 cell,viability|Growth abnormality,5% FDR|CRISPR-Cas9 library genetic interaction screen|GIST: A-phenotypic negative genetic interaction|TKO (Toronto KnockOut) library,synthetic lethality
KRAS,RAF1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CMD1NN|CRAF|NS5|Raf-1|c-Raf,HCT-116 cell,viability|Growth abnormality,5% FDR|CRISPR-Cas9 library genetic interaction screen|GIST: A-phenotypic negative genetic interaction|TKO (Toronto KnockOut) library,synthetic lethality
KRAS,MAPK1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK,HCT-116 cell,Growth abnormality|viability,5% FDR|CRISPR-Cas9 library genetic interaction screen|GIST: A-phenotypic negative genetic interaction|TKO (Toronto KnockOut) library,synthetic lethality
BRAF,MAPK1,B-RAF1|BRAF1|NS7|RAFB1,ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK,A-375 cell,viability|Growth abnormality,5% FDR|CRISPR-Cas9 library genetic interaction screen|GIST: A-phenotypic negative genetic interaction|TKO (Toronto KnockOut) library,synthetic lethality
KRAS,RCE1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,FACE2|RCE1A|RCE1B,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
KRAS,ICMT,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,HSTE14|MST098|MSTP098|PCCMT|PCMT|PPMT,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
KRAS,RAF1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,CMD1NN|CRAF|NS5|Raf-1|c-Raf,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
KRAS,SHOC2,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,SIAA0862|SOC2|SUR8,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
KRAS,PREX1,C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RASK2,P-REX1,Ras oncogenic mutant cell lines,viability|Growth abnormality,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
NRAS,RCE1,ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6,FACE2|RCE1A|RCE1B,Ras oncogenic mutant cell lines,Growth abnormality|viability,CRISPR|Hit genes show differential essentiality in Ras oncogenic mutant cell lines (KRAS and NRAS)|Negative genetic,synthetic lethality
