gene a,gene b,cell line,interaction
CSK,C1orf21,T47D,synthetic lethality
TOP1,BRCA2,HeLa cell,synthetic lethality
CSK,KDM6A,T47D,synthetic lethality
CSK,SCLT1,T47D,synthetic lethality
CSK,SLITRK3,T47D,synthetic lethality
TOP2A,FH,HeLa cell,synthetic lethality
CSK,PLD5,T47D,synthetic lethality
TOP2A,PALB2,HeLa cell,synthetic lethality
CSK,DSE,T47D,synthetic lethality
CSK,AVL9,T47D,synthetic lethality
CSK,ADK,T47D,synthetic lethality
CSK,AKT1,T47D,synthetic lethality
CSK,MSH3,T47D,synthetic lethality
CSK,ALPK2,T47D,synthetic lethality
ATRX,PDZD7,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality
CSK,PAK1,T47D,synthetic lethality
CSK,APOBEC1,T47D,synthetic lethality
ATRX,WEE1,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality
CSK,EXD2,T47D,synthetic lethality
CSK,GABRA4,T47D,synthetic lethality
CSK,SARDH,T47D,synthetic lethality
CSK,GOLGA4,T47D,synthetic lethality
ATRX,ZAP70,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality
CHEK2,LLGL1,HeLa cell,synthetic lethality
CSK,STARD9,T47D,synthetic lethality
CSK,ATP11C,T47D,synthetic lethality
CSK,IFI16,T47D,synthetic lethality
CSK,GRIN1,T47D,synthetic lethality
CSK,GNB4,T47D,synthetic lethality
CSK,CAMK1,T47D,synthetic lethality
CSK,GLG1,T47D,synthetic lethality
ADA,CHEK1,HeLa cell,synthetic lethality
CHEK1,CDC6,HeLa cell,synthetic lethality
CSK,TCTN3,T47D,synthetic lethality
CSK,KBTBD4,T47D,synthetic lethality
CSK,CD80,T47D,synthetic lethality
CSK,CASP5,T47D,synthetic lethality
CSK,TMEM108,T47D,synthetic lethality
CSK,LRRC59,T47D,synthetic lethality
WEE1,WRN,HeLa cell,synthetic lethality
ALDH2,RAD23B,HeLa cell,synthetic lethality
CSK,C1orf185,T47D,synthetic lethality
CSK,AMPD3,T47D,synthetic lethality
CSK,ANO10,T47D,synthetic lethality
CSK,SUFU,T47D,synthetic lethality
CSK,FAM20C,T47D,synthetic lethality
CSK,VPS13B,T47D,synthetic lethality
RABGGTB,RPS19,HeLa cell,synthetic lethality
CSK,DDHD2,T47D,synthetic lethality
CSK,PPP2R5B,T47D,synthetic lethality
CSK,CFTR,T47D,synthetic lethality
CSK,ATP11B,T47D,synthetic lethality
IMPDH1,CHEK1,HeLa cell,synthetic lethality
CSK,ARF5,T47D,synthetic lethality
CHEK2,CDC6,HeLa cell,synthetic lethality
CSK,EPYC,T47D,synthetic lethality
CSK,HIST3H2BB,T47D,synthetic lethality
CSK,NCR2,T47D,synthetic lethality
CSK,FBXO7,T47D,synthetic lethality
CSK,MS4A10,T47D,synthetic lethality
