gene a,gene b,cell line,interaction,correlation,p_value,adjusted_p_value
CSK,C1orf21,T47D,synthetic lethality,,,
TOP1,BRCA2,HeLa cell,synthetic lethality,0.03118118643760681,0.2576046884059906,0.45511576533317566
CSK,KDM6A,T47D,synthetic lethality,0.07615704834461212,0.005634563975036144,0.03203475475311279
CSK,SCLT1,T47D,synthetic lethality,0.001361840171739459,0.9605756402015686,0.9803394079208374
CSK,SLITRK3,T47D,synthetic lethality,-0.027048051357269287,0.326122909784317,0.5277594327926636
TOP2A,FH,HeLa cell,synthetic lethality,-0.06773053854703903,0.013844689354300499,0.06158478558063507
CSK,PLD5,T47D,synthetic lethality,0.013778244145214558,0.6169779300689697,0.772580087184906
TOP2A,PALB2,HeLa cell,synthetic lethality,0.03449992835521698,0.21034036576747894,0.39978617429733276
CSK,DSE,T47D,synthetic lethality,-0.030014511197805405,0.27584806084632874,0.4752429723739624
CSK,AVL9,T47D,synthetic lethality,-0.05810534954071045,0.0347847081720829,0.11849433928728104
CSK,ADK,T47D,synthetic lethality,-0.05834396183490753,0.03404495492577553,0.11672208458185196
CSK,AKT1,T47D,synthetic lethality,0.024564199149608612,0.3725265860557556,0.5729196071624756
CSK,MSH3,T47D,synthetic lethality,0.02411317452788353,0.38137131929397583,0.5811998844146729
CSK,ALPK2,T47D,synthetic lethality,0.016120145097374916,0.5584421157836914,0.7295894026756287
ATRX,PDZD7,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality,-0.03906645625829697,0.15602974593639374,0.3291766941547394
CSK,PAK1,T47D,synthetic lethality,-0.03449323773384094,0.2104288637638092,0.39989498257637024
CSK,APOBEC1,T47D,synthetic lethality,0.09421051293611526,0.0006097948062233627,0.006052012089639902
ATRX,WEE1,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality,0.007022665347903967,0.7987945079803467,0.89111328125
CSK,EXD2,T47D,synthetic lethality,0.017205504700541496,0.5322592258453369,0.7094864249229431
CSK,GABRA4,T47D,synthetic lethality,0.028685610741376877,0.2976774573326111,0.49854937195777893
CSK,SARDH,T47D,synthetic lethality,-0.05544496700167656,0.04400358721613884,0.1396210789680481
CSK,GOLGA4,T47D,synthetic lethality,-0.09266012907028198,0.0007501182844862342,0.0070867580361664295
ATRX,ZAP70,PLC-PRF-5 (Hepatoma Cell Line),synthetic lethality,-0.04222853481769562,0.12516026198863983,0.2845469117164612
CHEK2,LLGL1,HeLa cell,synthetic lethality,0.14300218224525452,1.814114796161448e-07,9.231409421772696e-06
CSK,STARD9,T47D,synthetic lethality,-0.04559884965419769,0.09772578626871109,0.24111804366111755
CSK,ATP11C,T47D,synthetic lethality,0.03892750293016434,0.15750807523727417,0.3312205970287323
CSK,IFI16,T47D,synthetic lethality,-0.04715391620993614,0.08680152893066406,0.22257603704929352
CSK,GRIN1,T47D,synthetic lethality,0.01781872659921646,0.5177455544471741,0.6980852484703064
CSK,GNB4,T47D,synthetic lethality,-0.06606204062700272,0.01637260802090168,0.06946327537298203
CSK,CAMK1,T47D,synthetic lethality,0.03548135980963707,0.197646364569664,0.38404709100723267
CSK,GLG1,T47D,synthetic lethality,0.019142474979162216,0.4871270954608917,0.6734352707862854
