gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
LEO1,NDUFA8,RDL,CI-19KD|CI-PGIV|PGIV,K-562 cell,Growth abnormality,-,synthetic rescue
LEO1,MRPL36,RDL,BRIP1|L36mt|MRP-L36|PRPL36|RPMJ,K-562 cell,Growth abnormality,-,synthetic rescue
LEO1,MRPS5,RDL,MRP-S5|S5mt,K-562 cell,Growth abnormality,-,synthetic rescue
UBA2,SKIV2L,ARX|SAE2,170A|DDX13|HLP|SKI2|SKI2W|SKIV2|THES2,K-562 cell,Growth abnormality,-,synthetic rescue
UBA2,SKIV2L,ARX|SAE2,170A|DDX13|HLP|SKI2|SKI2W|SKIV2|THES2,JURKAT cell,Growth abnormality,-,synthetic rescue
TRPC6,MGAT1,FSGS2|TRP6,GLCNAC-TI|GLCT1|GLYT1|GNT-1|GNT-I|MGAT,HEK 293,viability|Growth abnormality,CRISPR GI|Cell Line: HEK 293|TRPC6 GOF mutants are cytotoxic in a variety of cells and MGAT1 knockout can rescue this cytotoxicity in a cell line specific manner,synthetic rescue
TP53,ZNF593,BCC7|LFS1|P53|TRP53,ZT86,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,USP7,BCC7|LFS1|P53|TRP53,HAUSP|TEF1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PPM1D,BCC7|LFS1|P53|TRP53,PP2C-DELTA|WIP1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,IPO4,BCC7|LFS1|P53|TRP53,Imp4,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,MDM4,BCC7|LFS1|P53|TRP53,HDMX|MDMX|MRP1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,C16orf72,BCC7|LFS1|P53|TRP53,PRO0149,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,DDX31,BCC7|LFS1|P53|TRP53,PPP1R25,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,STUB1,BCC7|LFS1|P53|TRP53,CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,SEPHS1,BCC7|LFS1|P53|TRP53,SELD|SPS|SPS1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,BRAP,BCC7|LFS1|P53|TRP53,BRAP2|IMP|RNF52,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,ANKRD49,BCC7|LFS1|P53|TRP53,FGIF|GBIF,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PTK6,BCC7|LFS1|P53|TRP53,BRK,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,PPM1G,BCC7|LFS1|P53|TRP53,PP2CG|PP2CGAMMA|PPP2CG,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,RBBP7,BCC7|LFS1|P53|TRP53,RbAp46,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,BAK1,BCC7|LFS1|P53|TRP53,BAK|BAK-LIKE|BCL2L7|CDN1,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,ATP5O,BCC7|LFS1|P53|TRP53,ATPO|OSCP,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
TP53,MED25,BCC7|LFS1|P53|TRP53,ACID1|ARC92|CMT2B2|P78|PTOV2,p53-deficient RPE1 cell line,viability,Synthetic viability genome-wide CRISPR screena in isogenic p53-proficient and p53-deficient RPE1 cell lines,synthetic rescue
