gene a,gene b,cell line,interaction
XRCC5,EIF1AX,MCF7,synthetic lethality
DCC,PARP9,MCF7,synthetic lethality
HSP90AA1,GNAS,MCF7,synthetic lethality
RUNX1,GNAS,MCF7,synthetic lethality
GNAQ,HDAC2,MCF7,synthetic lethality
STK11,PARP4,MCF7,synthetic lethality
NRAS,MLH1,MCF7,synthetic lethality
PRMT3,FANCM,MCF7,synthetic lethality
TET2,DGKZ,MCF7,synthetic lethality
FANCD2,LIG1,MCF7,synthetic lethality
TOP3B,MYC,MCF7,synthetic lethality
MRE11,ERCC3,MCF7,synthetic lethality
UBE2I,MAP2K1,MCF7,synthetic lethality
TET2,HDAC2,MCF7,synthetic lethality
RNF168,NBN,MCF7,synthetic lethality
MRE11,RAD54L,MCF7,synthetic lethality
ERCC2,EIF1AX,MCF7,synthetic lethality
SMO,BRIP1,MCF7,synthetic lethality
TDP2,FANCM,MCF7,synthetic lethality
AKT1,GNAS,MCF7,synthetic lethality
TOP1,ERCC3,MCF7,synthetic lethality
XRCC5,NOTCH1,MCF7,non-sl
LIG4,EIF1AX,MCF7,non-sl
UBE2B,DCC,MCF7,non-sl
PARP9,CREBBP,MCF7,non-sl
HSP90AA1,CREBBP,MCF7,non-sl
ERCC3,GNAS,MCF7,non-sl
EME1,RUNX1,MCF7,non-sl
ERCC5,GNAS,MCF7,non-sl
EXO1,GNAQ,MCF7,non-sl
HDAC2,NF2,MCF7,non-sl
LIG1,STK11,MCF7,non-sl
PARP4,EIF1AX,MCF7,non-sl
NRAS,CHEK2,MCF7,non-sl
EED,MLH1,MCF7,non-sl
PRMT3,RUNX1,MCF7,non-sl
CASP8,FANCM,MCF7,non-sl
UBE2A,TET2,MCF7,non-sl
DGKZ,NBN,MCF7,non-sl
PRKACA,FANCD2,MCF7,non-sl
LIG1,SMARCA4,MCF7,non-sl
TOP3B,SETD2,MCF7,non-sl
ZC3HAV1,MYC,MCF7,non-sl
RAD54B,MRE11,MCF7,non-sl
ERCC3,MSH6,MCF7,non-sl
UBE2I,GATA3,MCF7,non-sl
SMYD2,MAP2K1,MCF7,non-sl
UBE2B,TET2,MCF7,non-sl
HDAC2,CREBBP,MCF7,non-sl
RNF168,NOTCH1,MCF7,non-sl
PARP6,NBN,MCF7,non-sl
UHRF1,MRE11,MCF7,non-sl
RAD54L,RUNX1,MCF7,non-sl
ERCC2,MSH2,MCF7,non-sl
POLG,EIF1AX,MCF7,non-sl
SMO,EGFR,MCF7,non-sl
POLM,BRIP1,MCF7,non-sl
TDP2,CDKN2A,MCF7,non-sl
CDC7,FANCM,MCF7,non-sl
AKT1,NF2,MCF7,non-sl
EXO1,GNAS,MCF7,non-sl
TOP1,RAD50,MCF7,non-sl
ERCC3,MYC,MCF7,non-sl
