gene a,gene b,cell line,interaction
ERCC2,BRAF,MDAMB231,synthetic lethality
PRKDC,KDM5C,MDAMB231,synthetic lethality
APC,AURKA,MDAMB231,synthetic lethality
NBN,MYC,MDAMB231,synthetic lethality
SMARCA4,MAP2K1,MDAMB231,synthetic lethality
FGFR2,STK11,MDAMB231,synthetic lethality
PARP1,SIRT6,MDAMB231,synthetic lethality
TDP1,MGMT,MDAMB231,synthetic lethality
APEX2,EIF1AX,MDAMB231,synthetic lethality
SMARCA4,ERCC4,MDAMB231,synthetic lethality
HDAC6,KRAS,MDAMB231,synthetic lethality
CARM1,RB1,MDAMB231,synthetic lethality
CTNNB1,BAP1,MDAMB231,synthetic lethality
TET2,DHFR,MDAMB231,synthetic lethality
PRMT5,PARP1,MDAMB231,synthetic lethality
XRCC1,UHRF1,MDAMB231,synthetic lethality
CHEK1,EED,MDAMB231,synthetic lethality
RAD51,SF3B1,MDAMB231,synthetic lethality
FGFR2,RECQL4,MDAMB231,synthetic lethality
MAPK1,CREBBP,MDAMB231,synthetic lethality
SMO,EIF1AX,MDAMB231,synthetic lethality
CHEK1,VEGFA,MDAMB231,synthetic lethality
POLE,AHR,MDAMB231,synthetic lethality
USP1,MGMT,MDAMB231,synthetic lethality
EGFR,KRAS,MDAMB231,synthetic lethality
KRAS,PARP8,MDAMB231,synthetic lethality
BRAF,TP53,MDAMB231,synthetic lethality
RAD51,KMT2D,MDAMB231,synthetic lethality
ERCC2,SMAD4,MDAMB231,non-sl
BRAF,MSH2,MDAMB231,non-sl
PRKDC,RB1,MDAMB231,non-sl
POLM,KDM5C,MDAMB231,non-sl
HDAC6,APC,MDAMB231,non-sl
AURKA,EIF1AX,MDAMB231,non-sl
LIG3,NBN,MDAMB231,non-sl
POLM,MYC,MDAMB231,non-sl
POLQ,SMARCA4,MDAMB231,non-sl
CECR2,MAP2K1,MDAMB231,non-sl
FGFR2,PTEN,MDAMB231,non-sl
POLK,STK11,MDAMB231,non-sl
PARP1,CDKN2A,MDAMB231,non-sl
SIRT6,RAD17,MDAMB231,non-sl
TDP1,VHL,MDAMB231,non-sl
WEE1,MGMT,MDAMB231,non-sl
APEX2,RAD50,MDAMB231,non-sl
HRAS,EIF1AX,MDAMB231,non-sl
TOP3A,SMARCA4,MDAMB231,non-sl
ERCC4,RAD17,MDAMB231,non-sl
HDAC6,RAD17,MDAMB231,non-sl
KRAS,ATM,MDAMB231,non-sl
CARM1,PTEN,MDAMB231,non-sl
PRKACA,RB1,MDAMB231,non-sl
CTNNB1,RAD50,MDAMB231,non-sl
APEX1,BAP1,MDAMB231,non-sl
HRAS,TET2,MDAMB231,non-sl
DHFR,PTEN,MDAMB231,non-sl
PRMT5,CASP8,MDAMB231,non-sl
PARP1,CDKN2B,MDAMB231,non-sl
LIG3,XRCC1,MDAMB231,non-sl
UHRF1,BRCA1,MDAMB231,non-sl
RAD54L,CHEK1,MDAMB231,non-sl
EED,RAD54B,MDAMB231,non-sl
RAD51,TET2,MDAMB231,non-sl
EHMT2,SF3B1,MDAMB231,non-sl
FGFR2,RAD17,MDAMB231,non-sl
PARP8,RECQL4,MDAMB231,non-sl
MAPK1,RAD50,MDAMB231,non-sl
XPA,CREBBP,MDAMB231,non-sl
SMO,PTEN,MDAMB231,non-sl
HDAC6,EIF1AX,MDAMB231,non-sl
INO80,CHEK1,MDAMB231,non-sl
VEGFA,RAD17,MDAMB231,non-sl
EZH2,POLE,MDAMB231,non-sl
AHR,RAD54B,MDAMB231,non-sl
USP1,RAD50,MDAMB231,non-sl
POLL,MGMT,MDAMB231,non-sl
EGFR,ATM,MDAMB231,non-sl
KRAS,ATR,MDAMB231,non-sl
KRAS,BRAF,MDAMB231,non-sl
PARP8,RAD17,MDAMB231,non-sl
BRAF,MRE11,MDAMB231,non-sl
PRKACA,TP53,MDAMB231,non-sl
RAD51,PDE4D,MDAMB231,non-sl
KIF11,KMT2D,MDAMB231,non-sl
