array_gene,query_gene,pi,fdr,z,sd,label,condition,neg_sample_type,related_sl_pair
RSM23,RSC1,-0.277188331170364,0.014,-10.0939109166939,0.0349227563261313,SL,BLEO,,
RSM23,SGS1,0.0007458194274208,0.990901485965878,-0.0229167715657562,0.0198376218130944,non_SL,BLEO,A_x,RSM23-RSC1
UGP1,RSC1,0.0012545892722176,0.901722341883689,0.0417993451062257,0.0069594173969555,non_SL,BLEO,x_B,RSM23-RSC1
MHR1,MSH6,-0.401898566081196,0.0025,-14.6148883881482,0.0153778655658469,SL,BLEO,,
MHR1,IDP2,0.0001463062260634,0.976806879790615,0.0071925960622272,0.0037812267990016,non_SL,BLEO,A_x,MHR1-MSH6
ERV29,MSH6,-0.0022447114208501,0.931689850032602,-0.0702937434778467,0.0065879518354246,non_SL,BLEO,x_B,MHR1-MSH6
MRPL6,IRA1,-0.260204525437766,0.034375,-9.47416232856907,0.0451621355687022,SL,BLEO,,
MRPL6,SGS1,0.0018034597066227,0.957294968425341,0.0685542239445054,0.0073886793830289,non_SL,BLEO,A_x,MRPL6-IRA1
SXM1,IRA1,-0.0009014286321267,0.980285521235521,-0.0120572360491417,0.0188097460853682,non_SL,BLEO,x_B,MRPL6-IRA1
YDL073W,RPD3,-0.140866114475545,0.04571875,-5.10493449542827,0.0167048971875211,SL,BLEO,,
YDL073W,HO,0.0003658512454847,0.995974269819193,0.0018485258321274,0.0072750036353038,non_SL,BLEO,A_x,YDL073W-RPD3
YML119W,RPD3,0.0007967506713328,0.929377893056664,0.0230392698776292,0.0129219743880269,non_SL,BLEO,x_B,YDL073W-RPD3
RPL42A,RAD51,-0.328794911886239,0.0231538461538462,-12.1182294143396,0.0901846743661531,SL,BLEO,,
RPL42A,SGS1,0.0040940858464597,0.901872698988851,0.159510252440119,0.008640276310955,non_SL,BLEO,A_x,RPL42A-RAD51
SMA2,RAD51,0.0003190293515367,0.918916282850176,-0.102210393866754,0.103187969594834,non_SL,BLEO,x_B,RPL42A-RAD51
SAS4,RPD3,-0.166526117024123,0.0450666666666667,-6.0939995424961,0.0381341266211618,SL,BLEO,,
SAS4,SGS1,0.0019750542954069,0.936784326566252,0.0967147002942073,0.0139126672918423,non_SL,BLEO,A_x,SAS4-RPD3
MOD5,RPD3,-0.0006029403524173,0.980313882905816,0.0071486344682263,0.0134464460995037,non_SL,BLEO,x_B,SAS4-RPD3
YML095C-A,DST1,-0.129201322491517,0.0435675675675676,-4.69549919397971,0.0375697715043111,SL,BLEO,,
YML095C-A,CDC4,0.0004263728939653,0.95177465303141,0.0160876417997291,0.0074025095454029,non_SL,BLEO,A_x,YML095C-A-DST1
HDA1,DST1,-0.0001636383553172,0.985480945121951,-0.0044631980970751,0.003038437165012,non_SL,BLEO,x_B,YML095C-A-DST1
RIP1,DST1,-0.134180168699288,0.04421875,-4.86522963541281,0.0194997481833901,SL,BLEO,,
RIP1,DNL4,-0.0007770885282998,0.919902803738318,-0.0290356974882879,0.006883899913294,non_SL,BLEO,A_x,RIP1-DST1
CHS1,DST1,0.001089296636949,0.915863298080689,0.0263558435907488,0.0050315460985409,non_SL,BLEO,x_B,RIP1-DST1
AIM25,RPD3,-0.149159916678627,0.0478260869565217,-5.50029435421375,0.0474757859890248,SL,BLEO,,
AIM25,RAD51,0.0012226959633522,0.959225591912743,0.0509408064262546,0.0067046358512478,non_SL,BLEO,A_x,AIM25-RPD3
TFG1,RPD3,-0.0006056451400003,0.944101388888889,-0.0184333328869263,0.0038524079184945,non_SL,BLEO,x_B,AIM25-RPD3
CDC42,DST1,-0.119218044785352,0.0495,-4.33167972979411,0.0080207051621228,SL,BLEO,,
CDC42,SGS1,-0.0015433936064889,0.963901041666667,-0.0610569668691079,0.0051003062693993,non_SL,BLEO,A_x,CDC42-DST1
CTT1,DST1,0.0002652456198693,0.993162865830483,0.0020814528238296,0.0044720554126695,non_SL,BLEO,x_B,CDC42-DST1
SRO7,RAD9,-0.538651638819591,0.0,-19.6700690171437,0.10135363490229,SL,BLEO,,
SRO7,TOS3,0.0003292168583815,0.966021846504559,0.0103897762589944,0.0075433226803371,non_SL,BLEO,A_x,SRO7-RAD9
SHE3,RAD9,0.0013117593176503,0.919638801879405,0.0392307662355555,0.0156165793639116,non_SL,BLEO,x_B,SRO7-RAD9
VPS33,TEL1,-0.324788388475706,0.0094,-11.8223993688726,0.0316708811792115,SL,BLEO,,
VPS33,CDC73,-0.0005853895227343,0.980496071428571,-0.0111482415397814,0.0116352629277103,non_SL,BLEO,A_x,VPS33-TEL1
YBR200W-A,TEL1,0.0008993247430213,0.957780038022814,0.0205317414829892,0.0098382864122857,non_SL,BLEO,x_B,VPS33-TEL1
MRE11,RPD3,-0.147491129200943,0.0419655172413793,-5.35251286728102,0.0065444869787392,SL,BLEO,,
MRE11,RAD57,0.0003675063843974,0.99588494907582,0.0013560709264266,0.0055328649700848,non_SL,BLEO,A_x,MRE11-RPD3
OCA6,RPD3,-0.0002704593877565,0.975502453385672,-0.0087801948235457,0.0029256770148879,non_SL,BLEO,x_B,MRE11-RPD3
MDM20,DST1,-0.111357298050693,0.0492857142857143,-4.02373306846587,0.0169509295898204,SL,BLEO,,
MDM20,SGS1,0.0039702147788882,0.910115949119374,0.139731354565251,0.0039751776801548,non_SL,BLEO,A_x,MDM20-DST1
VAN1,DST1,-0.000983748113723,0.915583153770813,-0.0264581436217092,0.0053114009110632,non_SL,BLEO,x_B,MDM20-DST1
YBR090C-A,CUL3,-0.244885274451049,0.032,-8.88339234954755,0.0101632160389367,SL,BLEO,,
YBR090C-A,JHD2,0.0007627514379782,0.974098896845365,0.015831532669776,0.0116098354013128,non_SL,BLEO,A_x,YBR090C-A-CUL3
PRE8,CUL3,0.0007912020803908,0.908298395721925,0.0281767074951104,0.0033138245553103,non_SL,BLEO,x_B,YBR090C-A-CUL3
PAR32,DST1,-0.104754374397679,0.0482898550724638,-3.80684230054984,0.0073730800170939,SL,BLEO,,
PAR32,SSM4,-0.0001893910306137,0.980091508831666,-0.0081340535350272,0.0047213672872087,non_SL,BLEO,A_x,PAR32-DST1
YMR193C-A,DST1,0.0012838488517694,0.913021193092622,0.027401980024265,0.0077003054052201,non_SL,BLEO,x_B,PAR32-DST1
CUP9,RAD54,-0.345095805048717,0.03525,-12.5458316611577,0.0678756278507892,SL,BLEO,,
CUP9,SGS1,-0.0002429557293621,0.997999116295511,0.0074760675586943,0.0102883848717271,non_SL,BLEO,A_x,CUP9-RAD54
RMT2,RAD54,0.0026998154171069,0.9004624217119,0.0985788689572655,0.0048575571302187,non_SL,BLEO,x_B,CUP9-RAD54
NIT2,RAD51,-0.375978630924896,0.0085555555555555,-13.649122823754,0.0071476414628916,SL,BLEO,,
NIT2,MSH6,-0.0019382698328151,0.913884683098592,-0.0887277992574582,0.0193720845766806,non_SL,BLEO,A_x,NIT2-RAD51
SMD1,RAD51,0.0009310395380351,0.956310335641982,0.0545796463678178,0.0347148020611522,non_SL,BLEO,x_B,NIT2-RAD51
MTQ2,MSH6,-0.34287196343193,0.0108333333333333,-12.5971486471731,0.0853654043536009,SL,BLEO,,
MTQ2,BLM10,0.0015010792895813,0.9495273657289,0.0276911569409059,0.0117654012592829,non_SL,BLEO,A_x,MTQ2-MSH6
YDR338C,MSH6,0.000527556330467,0.959121495327103,-0.0397543698235209,0.0545675451075136,non_SL,BLEO,x_B,MTQ2-MSH6
EAR1,RPD3,-0.177076985445161,0.0435,-6.43609341928435,0.0200786633186327,SL,BLEO,,
EAR1,SIN3,0.0010820931288193,0.904787264150943,0.034521411690035,0.0079122280000843,non_SL,BLEO,A_x,EAR1-RPD3
RIF1,RPD3,0.0001455772390516,0.990282655246253,0.0035015503725735,0.0022285641309077,non_SL,BLEO,x_B,EAR1-RPD3
GEP4,DST1,-0.122491404178844,0.0470238095238095,-4.4590880729222,0.0210238156242001,SL,BLEO,,
GEP4,BDF1,0.0007705108994416,0.920932633247474,0.0235497540279406,0.0045812725495016,non_SL,BLEO,A_x,GEP4-DST1
GSF2,DST1,-6.49229242131871e-05,0.98747715156131,0.0038324048271201,0.0074381238493619,non_SL,BLEO,x_B,GEP4-DST1
TRK1,MSH6,-0.582596159665128,0.0,-21.1295323323347,0.0644476799236365,SL,BLEO,,
TRK1,SGS1,-0.0043750008351364,0.905875063484002,-0.152155022742813,0.0049096882724557,non_SL,BLEO,A_x,TRK1-MSH6
CCR4,MSH6,-0.0009485806032967,0.970787968026925,-0.0266321371285264,0.0151534317693908,non_SL,BLEO,x_B,TRK1-MSH6
YBL073W,DST1,-0.134488327557338,0.0466333333333333,-4.88501953019968,0.0343009697286352,SL,BLEO,,
YBL073W,SGS1,0.0027756810076353,0.944657577679138,0.0842643233899925,0.0092474823998397,non_SL,BLEO,A_x,YBL073W-DST1
SDH4,DST1,0.0006617499339013,0.909135639866326,0.0286550758779827,0.0093359997834469,non_SL,BLEO,x_B,YBL073W-DST1
CHO2,RSC1,-0.211911474481522,0.0405,-7.72035761057807,0.0407785310979873,SL,BLEO,,
CHO2,ELC1,-0.00054312870796,0.914461283401599,-0.0228137276720386,0.0114620054315717,non_SL,BLEO,A_x,CHO2-RSC1
ISF1,RSC1,-0.0007170099892152,0.93761138803681,-0.0266748481794128,0.0085511305470673,non_SL,BLEO,x_B,CHO2-RSC1
CHO2,RPD3,-0.211271187119154,0.047,-7.65969647522758,0.0180922893025773,SL,BLEO,,
CHO2,DST1,0.0006587993737728,0.91848435666797,0.0254295341514935,0.0183549423295648,non_SL,BLEO,A_x,CHO2-RPD3
YIL089W,RPD3,0.0007496303168709,0.902486464646465,0.0318806849860856,0.0024658747181015,non_SL,BLEO,x_B,CHO2-RPD3
PGU1,RAD51,-0.367475233043773,0.0102,-13.3345452728074,0.0353203511341761,SL,BLEO,,
PGU1,RAD57,0.0002180043654888,0.921120078354554,0.0223143372389627,0.0066406801963711,non_SL,BLEO,A_x,PGU1-RAD51
LRE1,RAD51,-0.0011825811175582,0.975572107765452,-0.0309889018981014,0.0244069525038726,non_SL,BLEO,x_B,PGU1-RAD51
CCE1,DST1,-0.109173841376051,0.0484406779661017,-3.98522740814261,0.0213210755741086,SL,BLEO,,
CCE1,RAD23,0.0002393445347408,0.988482835405456,0.0029642171439713,0.0078200513825433,non_SL,BLEO,A_x,CCE1-DST1
FHL1,DST1,-8.16958406053836e-06,0.997346489563567,-0.0007812791634615,0.0026312099750585,non_SL,BLEO,x_B,CCE1-DST1
