candidate_genes,disease,celltype,y,user_question,full_query
"['SOWAHB', 'ABCC3', 'HGF', 'TYMS', 'OSBPL7']",Hepatoblastoma,endothelial,TYMS,"Among SOWAHB, ABCC3, HGF, TYMS, and OSBPL7, which gene exhibits the highest specificity in endothelial cells for targeted therapy against hepatoblastoma?","Among SOWAHB, ABCC3, HGF, TYMS, and OSBPL7, which gene exhibits the highest specificity in endothelial cells for targeted therapy against hepatoblastoma? Identify the validated therapeutic targets for Hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE dataset. Next, identify the overlap between these therapeutic targets and the endothelial-activated genes cataloged in PINNACLE. For the overlapping gene set, compute the average embedding and then calculate the cosine similarity between this reference embedding and that of each individual target. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['TUBB', 'CLEC12B', 'TRPC3', 'NDUFAB1', 'BLOC1S4']",Hepatoblastoma,endothelial,TUBB,"Among TUBB, CLEC12B, TRPC3, NDUFAB1, and BLOC1S4, which gene exhibits the highest specificity in endothelial cells for targeted intervention in hepatoblastoma?","Among TUBB, CLEC12B, TRPC3, NDUFAB1, and BLOC1S4, which gene exhibits the highest specificity in endothelial cells for targeted intervention in hepatoblastoma? Identify validated therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of these targets overlap with the endothelial-activated genes identified in PINNACLE, thereby defining a subset of cell-type–specific therapeutic candidates. Compute the average embedding of this subset, then calculate the cosine similarity between this average and each individual target. If a single gene exhibits a distinctly higher similarity than all others, nominate it as the top candidate and provide a brief, evidence-based explanation for its biological significance."
"['POLD3', 'SFXN4', 'NPIPA1', 'ERO1A', 'HIVEP2']",Hepatoblastoma,endothelial,POLD3,"Which gene among POLD3, SFXN4, NPIPA1, ERO1A, and HIVEP2 exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma?","Which gene among POLD3, SFXN4, NPIPA1, ERO1A, and HIVEP2 exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma? Identify the verified therapeutic targets for hepatoblastoma and extract their cell-type specific embeddings from PINNACLE. Next, determine which endothelial-activated genes in PINNACLE overlap with these targets, thereby defining the cell-type specific targets for hepatoblastoma. Compute the average embedding for this overlapping set and calculate the cosine similarity between this reference and each individual target. If one gene consistently exhibits a higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NPW', 'CX3CL1', 'PRR30', 'RND3', 'FLT1']",Hepatoblastoma,endothelial,FLT1,"Which gene among NPW, CX3CL1, PRR30, RND3, and FLT1 exhibits the highest endothelial cell specificity in the context of hepatoblastoma targeting?","Which gene among NPW, CX3CL1, PRR30, RND3, and FLT1 exhibits the highest endothelial cell specificity in the context of hepatoblastoma targeting? Identify validated therapeutic targets for Hepatoblastoma and obtain their cell-type–specific embeddings from the PINNACLE dataset. Then, determine which targets overlap with endothelial-activated genes in PINNACLE. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and the individual embeddings of each target. If a single gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MYH14', 'RRM1', 'ARHGEF19', 'BBS5', 'LITAF']",Hepatoblastoma,endothelial,RRM1,"Which gene among MYH14, RRM1, ARHGEF19, BBS5, and LITAF exhibits the highest endothelial cell-type specificity, making it the most promising candidate for targeting hepatoblastoma?","Which gene among MYH14, RRM1, ARHGEF19, BBS5, and LITAF exhibits the highest endothelial cell-type specificity, making it the most promising candidate for targeting hepatoblastoma? Identify the verified therapeutic targets for Hepatoblastoma and obtain their corresponding cell-type–specific embeddings from PINNACLE. Next, determine the intersection between these targets and the set of endothelial-activated genes listed in PINNACLE to define the cell-type–specific targets for Hepatoblastoma. Compute the average embedding for this gene set and calculate the cosine similarity between this reference and each individual target. Finally, if one gene demonstrates a significantly higher cosine similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TEAD3', 'SEC31A', 'BLNK', 'TOP1', 'CCIN']",Hepatoblastoma,endothelial,TOP1,"Among the genes TEAD3, SEC31A, BLNK, TOP1, and CCIN, which one exhibits the highest endothelial cell-specific expression for targeting hepatoblastoma?","Among the genes TEAD3, SEC31A, BLNK, TOP1, and CCIN, which one exhibits the highest endothelial cell-specific expression for targeting hepatoblastoma? Identify the validated therapeutic targets for Hepatoblastoma using PINNACLE and extract the corresponding cell-type–specific embeddings. Next, determine which of the endothelial activation genes in PINNACLE overlap with these targets, thus defining the cell-type–specific targets for Hepatoblastoma. Calculate the average embedding of this overlapping set and compute the cosine similarity between this average reference and each individual gene’s embedding. If one gene exhibits a distinctly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['FLT4', 'SOBP', 'ADAM21', 'UQCR10', 'SLCO4A1']",Hepatoblastoma,endothelial,FLT4,"Among the genes FLT4, SOBP, ADAM21, UQCR10, and SLCO4A1, which one exhibits the highest specificity toward endothelial cells for targeting hepatoblastoma?","Among the genes FLT4, SOBP, ADAM21, UQCR10, and SLCO4A1, which one exhibits the highest specificity toward endothelial cells for targeting hepatoblastoma? Determine the verified therapeutic targets for hepatoblastoma and extract their cell-type–specific embeddings from the PINNACLE dataset. Identify which of these targets overlap with endothelial-activated genes in PINNACLE, and define this overlapping set as the cell-type–specific targets for hepatoblastoma. Calculate the average embedding for this set, then compute the cosine similarity between this average and each individual target embedding. If one gene exhibits a notably higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
"['SGCZ', 'KIAA0895L', 'EEA1', 'CSN1S1', 'PRIM1']",Hepatoblastoma,endothelial,PRIM1,"Which gene among SGCZ, KIAA0895L, EEA1, CSN1S1, and PRIM1 shows the highest endothelial cell specificity for targeting hepatoblastoma?","Which gene among SGCZ, KIAA0895L, EEA1, CSN1S1, and PRIM1 shows the highest endothelial cell specificity for targeting hepatoblastoma? Identify the verified therapeutic targets for Hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Then, determine which of these targets overlap with the set of endothelial-activated genes in PINNACLE, and compute the average embedding for this overlapping group. Next, calculate the cosine similarity between this average and each individual target embedding. If one gene shows a clearly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['CPNE4', 'DCTN5', 'PRIM2', 'KIAA1522', 'CCDC82']",Hepatoblastoma,endothelial,PRIM2,"Which gene among CPNE4, DCTN5, PRIM2, KIAA1522, and CCDC82 exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma?","Which gene among CPNE4, DCTN5, PRIM2, KIAA1522, and CCDC82 exhibits the highest endothelial cell-type specificity for targeting hepatoblastoma? Identify the confirmed therapeutic targets for Hepatoblastoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which endothelial-activated genes in PINNACLE intersect with these targets to define cell-type–specific targets for Hepatoblastoma. Compute the average embedding of this intersection to serve as a reference, and then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate, providing a concise, evidence-based explanation for its biological relevance."
"['RHPN1', 'THRB', 'PEPD', 'MAX', 'TOP2B']",Hepatoblastoma,endothelial,TOP2B,"Among the genes RHPN1, THRB, PEPD, MAX, and TOP2B, which one exhibits the highest specificity in endothelial cells for targeting Hepatoblastoma?","Among the genes RHPN1, THRB, PEPD, MAX, and TOP2B, which one exhibits the highest specificity in endothelial cells for targeting Hepatoblastoma? Identify the verified therapeutic targets for hepatoblastoma and retrieve their cell-type–specific embeddings from PINNACLE. Determine which endothelial-activated genes in PINNACLE overlap with these targets to define the cell-type–specific targets for hepatoblastoma. Next, compute the average embedding for these overlapping genes as a reference and calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
