candidate_genes,disease,celltype,y,user_question,full_query
"['ACTN4', 'MT-ND3', 'POU2F1', 'CA12', 'ADNP']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,MT-ND3,"Among the genes ACTN4, MT-ND3, POU2F1, CA12, and ADNP, which one exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells, making it a promising target for follicular lymphoma?","Among the genes ACTN4, MT-ND3, POU2F1, CA12, and ADNP, which one exhibits the highest cell-type specificity in CD4-positive αβ cytotoxic T cells, making it a promising target for follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which genes activated in CD4-positive alpha-beta cytotoxic T cells overlap with these targets to define a cell-type–specific target set for follicular lymphoma. Compute the average embedding for this set and calculate the cosine similarity between this reference and each individual target. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based justification for its biological relevance."
"['CCDC26', 'HAS2', 'NDUFB2', 'THBD', 'AANAT']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFB2,"Which gene—CCDC26, HAS2, NDUFB2, THBD, or AANAT—exhibits the highest cell-type-specific expression in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene—CCDC26, HAS2, NDUFB2, THBD, or AANAT—exhibits the highest cell-type-specific expression in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Determine the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, identify the overlap between these targets and the cd4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE to define the follicular lymphoma–specific targets. Compute the average embedding for this overlapping set, then calculate the cosine similarity between this average and each individual target embedding. If one gene shows a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['AP1M1', 'RPL29P4', 'NDUFB10', 'CD6', 'CD207']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFB10,"Among AP1M1, RPL29P4, NDUFB10, CD6, and CD207, which gene exhibits the highest cell-type specificity in CD4+ αβ cytotoxic T cells for the targeted treatment of follicular lymphoma?","Among AP1M1, RPL29P4, NDUFB10, CD6, and CD207, which gene exhibits the highest cell-type specificity in CD4+ αβ cytotoxic T cells for the targeted treatment of follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and extract their cell-type–specific embeddings from the PINNACLE database. Next, determine which of these targets overlap with the set of genes activated in CD4-positive αβ cytotoxic T cells in PINNACLE to define cell-type–specific targets for follicular lymphoma. Calculate the average embedding of these overlapping genes, then compute the cosine similarity between this average and the embedding of each individual target. If one gene demonstrates a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CYB5R1', 'TOP2A', 'PHPT1', 'VPREB1', 'ST6GALNAC2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TOP2A,"Which gene among CYB5R1, TOP2A, PHPT1, VPREB1, and ST6GALNAC2 exhibits the highest cell-type specificity in CD4-positive, alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among CYB5R1, TOP2A, PHPT1, VPREB1, and ST6GALNAC2 exhibits the highest cell-type specificity in CD4-positive, alpha-beta cytotoxic T cells for targeting follicular lymphoma? Retrieve the cell-type–specific embeddings for the verified therapeutic targets of follicular lymphoma from the PINNACLE database. Next, identify the overlap between these targets and the genes activated in CD4-positive alpha-beta cytotoxic T cells. For the overlapping set, compute the average embedding as a reference and then calculate the cosine similarity between this reference and each individual gene embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CDK4', 'CCR2', 'TLN2', 'APC2', 'GAL3ST1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,CDK4,"Which gene among CDK4, CCR2, TLN2, APC2, and GAL3ST1 exhibits the highest expression specificity in CD4-positive alpha-beta cytotoxic T cells that target follicular lymphoma?","Which gene among CDK4, CCR2, TLN2, APC2, and GAL3ST1 exhibits the highest expression specificity in CD4-positive alpha-beta cytotoxic T cells that target follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the CD4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE, defining this overlapping set as the cell-type–specific targets for follicular lymphoma. Compute the average embedding of this set and then calculate the cosine similarity between this average embedding and each individual target’s embedding. If one gene exhibits a significantly higher cosine similarity than the others, designate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TUBB', 'PPM1D', 'HIP1R', 'ZNF317', 'TLCD1']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,TUBB,"Which gene among TUBB, PPM1D, HIP1R, ZNF317, and TLCD1 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma?","Which gene among TUBB, PPM1D, HIP1R, ZNF317, and TLCD1 exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells for targeting follicular lymphoma? Identify the verified therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from the PINNACLE database. Next, determine the intersection between these targets and the set of genes activated in CD4-positive alpha-beta cytotoxic T cells. Calculate the average embedding of the overlapping genes as a reference, then derive the cosine similarity between this reference and each individual target’s embedding. If one gene demonstrates a significantly higher similarity, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NDUFB3', 'IL34', 'PABPN1', 'GAL3ST3', 'SNX24']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFB3,"Among the genes NDUFB3, IL34, PABPN1, GAL3ST3, and SNX24, which one exhibits the greatest expression specificity in CD4-positive alpha-beta cytotoxic T cells, thereby representing the most promising candidate for targeted follicular lymphoma therapy?","Among the genes NDUFB3, IL34, PABPN1, GAL3ST3, and SNX24, which one exhibits the greatest expression specificity in CD4-positive alpha-beta cytotoxic T cells, thereby representing the most promising candidate for targeted follicular lymphoma therapy? Identify the verified therapeutic targets for follicular lymphoma and obtain their cell-type–specific embeddings from PINNACLE. Next, determine the overlap between these targets and the cd4-positive alpha-beta cytotoxic T cell-activated genes in PINNACLE; this overlapping set defines the cell-type–specific targets for follicular lymphoma. Calculate the average embedding of this set and compute the cosine similarity between this reference and each individual target. If one gene exhibits a significantly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['CETP', 'HLA-DRB1', 'RHBG', 'LCT', 'TARDBP']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,HLA-DRB1,"Among CETP, HLA-DRB1, RHBG, LCT, and TARDBP, which gene demonstrates the greatest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma?","Among CETP, HLA-DRB1, RHBG, LCT, and TARDBP, which gene demonstrates the greatest cell-type specificity in CD4-positive αβ cytotoxic T cells for targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma and retrieve their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the genes activated in CD4-positive alpha-beta cytotoxic T cells in PINNACLE to establish a set of cell-type–specific targets for follicular lymphoma. Compute the average embedding of this set and then calculate the cosine similarity between this average and each individual target gene's embedding. If one gene exhibits a markedly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['ILF2', 'RBX1', 'NRSN2', 'TXN2', 'FECH']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,RBX1,"Among the genes ILF2, RBX1, NRSN2, TXN2, and FECH, which one exhibits the highest cell-type-specific expression in CD4-positive alpha-beta T cells for targeted follicular lymphoma therapy?","Among the genes ILF2, RBX1, NRSN2, TXN2, and FECH, which one exhibits the highest cell-type-specific expression in CD4-positive alpha-beta T cells for targeted follicular lymphoma therapy? Identify the verified therapeutic targets for follicular lymphoma available in the PINNACLE database and retrieve their cell-type–specific embeddings. Next, determine which of these targets overlap with genes expressed in CD4-positive alpha-beta cytotoxic T cells. Using the overlapping genes, compute an average embedding to serve as a reference, then calculate the cosine similarity between this reference and each individual target embedding. Finally, select the gene with the highest similarity as the primary candidate and provide a concise, evidence-based rationale for its biological significance."
"['CLDND2', 'PKN3', 'NDUFA6', 'NOTCH4', 'DUS2']",follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,NDUFA6,"Among the genes CLDND2, PKN3, NDUFA6, NOTCH4, and DUS2, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeting follicular lymphoma?","Among the genes CLDND2, PKN3, NDUFA6, NOTCH4, and DUS2, which one exhibits the highest cell-type specificity in CD4-positive alpha-beta cytotoxic T cells, making it the most promising candidate for targeting follicular lymphoma? Identify validated therapeutic targets for follicular lymphoma by retrieving their cell-type specific embeddings from PINNACLE. Next, determine which of these targets overlap with CD4-positive alpha-beta cytotoxic T cell–activated genes in the PINNACLE dataset to define the follicular lymphoma cell-type specific targets. Compute the average embedding for this overlapping set as a reference, and then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
