candidate_genes,disease,celltype,y,user_question,full_query
"['CFI', 'SEC23A', 'ECHDC2', 'GTF2I', 'OAZ3']",Sjogren syndrome,acinar cell of salivary gland,GTF2I,"Among the genes CFI, SEC23A, ECHDC2, GTF2I, and OAZ3, which one is most specifically expressed in salivary gland acinar cells, making it the best candidate target for Sjogren's syndrome?","Among the genes CFI, SEC23A, ECHDC2, GTF2I, and OAZ3, which one is most specifically expressed in salivary gland acinar cells, making it the best candidate target for Sjogren's syndrome? Identify the verified therapeutic targets for Sjögren syndrome and extract their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with acinar cell–activated genes in the salivary gland from PINNACLE, as these constitute cell-type–specific targets for Sjögren syndrome. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each target-specific embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['HLA-B', 'MASP2', 'KLHL20', 'DLGAP2', 'TECPR1']",Sjogren syndrome,acinar cell of salivary gland,HLA-B,"Among the candidate genes HLA-B, MASP2, KLHL20, DLGAP2, and TECPR1, which one exhibits the highest cell-type specificity in salivary gland acinar cells, thereby representing the most promising target for therapeutic intervention in Sjögren's syndrome?","Among the candidate genes HLA-B, MASP2, KLHL20, DLGAP2, and TECPR1, which one exhibits the highest cell-type specificity in salivary gland acinar cells, thereby representing the most promising target for therapeutic intervention in Sjögren's syndrome? Identify verified therapeutic targets for Sjogren syndrome and extract their cell-type–specific embeddings from PINNACLE. Determine which of these targets overlap with acinar cell-activated genes in the salivary gland, thereby defining the cell-type–specific targets. Compute the average embedding for this overlapping set and calculate the cosine similarity between this average and each individual target. If one gene shows markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['STAU1', 'MIDEAS', 'PSKH2', 'MEIG1', 'FCGRT']",Sjogren syndrome,acinar cell of salivary gland,FCGRT,"Which gene among STAU1, MIDEAS, PSKH2, MEIG1, and FCGRT exhibits the highest cell-type specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjögren's syndrome?","Which gene among STAU1, MIDEAS, PSKH2, MEIG1, and FCGRT exhibits the highest cell-type specificity in salivary gland acinar cells, making it the most promising candidate for targeting Sjögren's syndrome? Retrieve the verified therapeutic targets for Sjogren syndrome along with their cell-type–specific embeddings from PINNACLE. Identify the overlap between these targets and salivary gland acinar cell-activated genes, defining the cell-type–specific targets for Sjogren syndrome. Compute the average embedding for this overlapping gene set and calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['CHMP1A', 'CHRM3', 'AEN', 'RBM11', 'BTF3L4']",Sjogren syndrome,acinar cell of salivary gland,CHRM3,"Among the genes CHMP1A, CHRM3, AEN, RBM11, and BTF3L4, which one exhibits the highest expression specificity in salivary gland acinar cells as a candidate target for Sjögren's syndrome?","Among the genes CHMP1A, CHRM3, AEN, RBM11, and BTF3L4, which one exhibits the highest expression specificity in salivary gland acinar cells as a candidate target for Sjögren's syndrome? Identify the confirmed therapeutic targets for Sjogren syndrome and retrieve their cell-type–specific embeddings from the PINNACLE database, along with the embeddings for acinar cell-activated genes in the salivary gland. Determine the intersection of these two gene sets to define the candidate cell-type–specific targets, compute their average embedding as a reference, and then calculate the cosine similarity between this reference and each individual target’s embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['AKT1', 'C11orf65', 'SARS2', 'CLIP3', 'IFNAR1']",Sjogren syndrome,acinar cell of salivary gland,IFNAR1,"Which gene—AKT1, C11orf65, SARS2, CLIP3, or IFNAR1—demonstrates the most specific expression in salivary gland acinar cells, making it the best candidate for targeting in Sjogren’s syndrome?","Which gene—AKT1, C11orf65, SARS2, CLIP3, or IFNAR1—demonstrates the most specific expression in salivary gland acinar cells, making it the best candidate for targeting in Sjogren’s syndrome? Identify the verified therapeutic targets for Sjögren syndrome and obtain their cell-type–specific embeddings from the PINNACLE dataset. Next, compare these targets with acinar cell–activated genes in the salivary gland (as defined by PINNACLE) to identify overlapping, acinar-specific targets. Compute the average embedding of this overlapping set as a reference, then calculate the cosine similarity between the reference and each individual target. If one gene shows substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological significance."
"['GOLGA8F', 'SYNM', 'TSPAN2', 'PYM1', 'SOCS6']",Sjogren syndrome,acinar cell of salivary gland,PYM1,"Among the genes GOLGA8F, SYNM, TSPAN2, PYM1, and SOCS6, which one exhibits the highest acinar cell-specific expression in the salivary gland, making it the most suitable candidate for targeting in Sjögren’s syndrome?","Among the genes GOLGA8F, SYNM, TSPAN2, PYM1, and SOCS6, which one exhibits the highest acinar cell-specific expression in the salivary gland, making it the most suitable candidate for targeting in Sjögren’s syndrome? Determine the confirmed therapeutic targets for Sjogren syndrome and extract their cell-type–specific embeddings from the PINNACLE database. Identify the overlap between these targets and the acinar cell-activated genes in the salivary gland present in PINNACLE. Compute the average embedding of this overlapping set as a reference vector, then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['ABHD17C', 'HLA-DPA1', 'ATG101', 'SUMO1P1', 'DYDC1']",Sjogren syndrome,acinar cell of salivary gland,HLA-DPA1,"Among ABHD17C, HLA-DPA1, ATG101, SUMO1P1, and DYDC1, which gene demonstrates the highest cell-type specificity within salivary gland acinar cells for addressing Sjögren's syndrome?","Among ABHD17C, HLA-DPA1, ATG101, SUMO1P1, and DYDC1, which gene demonstrates the highest cell-type specificity within salivary gland acinar cells for addressing Sjögren's syndrome? Identify validated therapeutic targets for Sjögren syndrome and obtain their cell-type-specific embeddings from PINNACLE. Next, retrieve the acinar cell-activated gene embeddings from the salivary gland in PINNACLE and identify the overlapping genes between this set and the targets, defining these as the cell-type-specific targets for Sjögren syndrome. Compute the average embedding for these overlapping genes and then calculate the cosine similarity between this composite vector and each individual target embedding. If one gene shows a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['MPP2', 'PPP2R3A', 'RCN1', 'LRRC4C', 'MYO1A']",Sjogren syndrome,acinar cell of salivary gland,RCN1,"Which gene—MPP2, PPP2R3A, RCN1, LRRC4C, or MYO1A—exhibits the most selective expression in salivary gland acinar cells, thereby representing a promising target for Sjogren’s syndrome?","Which gene—MPP2, PPP2R3A, RCN1, LRRC4C, or MYO1A—exhibits the most selective expression in salivary gland acinar cells, thereby representing a promising target for Sjogren’s syndrome? Identify verified therapeutic targets for Sjögren syndrome and obtain their cell‐type–specific embeddings from PINNACLE. Next, determine which genes activated in salivary gland acinar cells overlap with these targets. Compute the average embedding of the overlapping targets, then calculate the cosine similarity between this reference and each individual target. If one gene exhibits a substantially higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological significance."
"['ARPC5L', 'TMEM8B', 'DDX6', 'LEF1-AS1', 'GIMAP6']",Sjogren syndrome,acinar cell of salivary gland,DDX6,"Among ARPC5L, TMEM8B, DDX6, LEF1-AS1, and GIMAP6, which gene exhibits the highest specificity for acinar cells in the salivary gland, making it the most suitable candidate for targeting in Sjogren's syndrome?","Among ARPC5L, TMEM8B, DDX6, LEF1-AS1, and GIMAP6, which gene exhibits the highest specificity for acinar cells in the salivary gland, making it the most suitable candidate for targeting in Sjogren's syndrome? Identify the verified therapeutic targets for Sjögren syndrome and retrieve their cell-type–specific embeddings from PINNACLE. Next, determine which acinar cell–activated genes from the salivary gland, as identified in PINNACLE, overlap with these targets. Compute the average embedding for this overlapping set and calculate the cosine similarity of each individual target's embedding relative to the average. If one gene exhibits a markedly higher cosine similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['ITGA1', 'PAPOLA', 'FKBP1A', 'AKAP1', 'NPRL3']",Sjogren syndrome,acinar cell of salivary gland,FKBP1A,"Which gene among ITGA1, PAPOLA, FKBP1A, AKAP1, and NPRL3 exhibits the highest cell-type specificity in salivary gland acinar cells, thereby representing the most promising target for Sjögren syndrome?","Which gene among ITGA1, PAPOLA, FKBP1A, AKAP1, and NPRL3 exhibits the highest cell-type specificity in salivary gland acinar cells, thereby representing the most promising target for Sjögren syndrome? Identify the validated therapeutic targets for Sjogren syndrome and retrieve their corresponding cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the genes activated in salivary gland acinar cells to define the cell-type–specific targets for Sjogren syndrome. Compute the average embedding for this overlapping set, then calculate the cosine similarity between the average and the individual target embeddings. If one gene shows a markedly higher similarity compared to the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
