candidate_genes,disease,celltype,y,user_question,full_query
"['COMMD6', 'PRKACG', 'TIGD2', 'LINC02813', 'GRIN2D']",type 1 diabetes mellitus,pancreatic epsilon cell,COMMD6,"Which gene among COMMD6, PRKACG, TIGD2, LINC02813, and GRIN2D shows the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus?","Which gene among COMMD6, PRKACG, TIGD2, LINC02813, and GRIN2D shows the highest cell-type specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from the PINNACLE database. Next, identify which of these targets overlap with the pancreatic epsilon cell–activated genes available in PINNACLE, forming a set of cell-type–specific targets. Compute the average embedding for this set and then calculate the cosine similarity between this reference and each individual target embedding. If one gene exhibits a substantially higher similarity than the others, nominate it as the primary candidate and provide a concise, evidence-based rationale for its biological relevance."
"['RAB26', 'MAB21L2', 'NDUFA11', 'ALDOC', 'EGLN2']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA11,"Among the genes RAB26, MAB21L2, NDUFA11, ALDOC, and EGLN2, which exhibits the highest cell-type specificity in pancreatic epsilon cells, making it the most promising candidate for targeted interventions in type 1 diabetes mellitus?","Among the genes RAB26, MAB21L2, NDUFA11, ALDOC, and EGLN2, which exhibits the highest cell-type specificity in pancreatic epsilon cells, making it the most promising candidate for targeted interventions in type 1 diabetes mellitus? Determine the validated therapeutic targets for type 1 diabetes mellitus and obtain their cell-type-specific embeddings from PINNACLE. Next, identify which genes activated in pancreatic epsilon cells overlap with these targets, defining this intersection as the cell-type-specific targets for type 1 diabetes mellitus. Calculate the average embedding of these overlapping genes as a reference, then compute the cosine similarity between this reference and each individual target’s embedding. If one gene displays a significantly higher similarity than the others, nominate it as the top candidate and provide a brief, evidence-based rationale for its biological relevance."
"['INSYN2A', 'PMFBP1', 'MT-ND1', 'SCOC-AS1', 'MARVELD3']",type 1 diabetes mellitus,pancreatic epsilon cell,MT-ND1,"Among INSYN2A, PMFBP1, MT-ND1, SCOC-AS1, and MARVELD3, which gene exhibits the highest cell-type specificity in pancreatic epsilon cells and represents the most promising target for type 1 diabetes mellitus research?","Among INSYN2A, PMFBP1, MT-ND1, SCOC-AS1, and MARVELD3, which gene exhibits the highest cell-type specificity in pancreatic epsilon cells and represents the most promising target for type 1 diabetes mellitus research? Identify the validated therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which of these targets overlap with the pancreatic epsilon cell-activated genes in PINNACLE, defining a subset of cell-type–specific targets for the disease. Calculate the average embedding of this subset and then compute the cosine similarity between this average and each individual target's embedding. If one gene exhibits a notably higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological significance."
"['POMGNT2', 'SUPT7L', 'PTPN18', 'GRID1', 'NDUFB1']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFB1,"Which gene among POMGNT2, SUPT7L, PTPN18, GRID1, and NDUFB1 exhibits the highest cell-type specific expression in pancreatic epsilon cells, making it the most promising candidate for targeted intervention in type 1 diabetes mellitus?","Which gene among POMGNT2, SUPT7L, PTPN18, GRID1, and NDUFB1 exhibits the highest cell-type specific expression in pancreatic epsilon cells, making it the most promising candidate for targeted intervention in type 1 diabetes mellitus? Using PINNACLE, identify the verified therapeutic targets for type 1 diabetes mellitus and extract their cell‐type–specific embeddings. Next, determine the overlap between these targets and the pancreatic epsilon cell-activated genes in PINNACLE to define the cell-type–specific targets for T1DM. Compute the average embedding for the overlapping set, and then calculate the cosine similarity between this reference and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the leading candidate and provide a concise, evidence-based rationale for its biological relevance."
"['NAIF1', 'PI4K2B', 'SLC35E3', 'NDUFA13', 'CAB39L']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA13,"Which gene among NAIF1, PI4K2B, SLC35E3, NDUFA13, and CAB39L exhibits the highest specificity in pancreatic epsilon cells, making it the best candidate for targeted studies in type 1 diabetes mellitus?","Which gene among NAIF1, PI4K2B, SLC35E3, NDUFA13, and CAB39L exhibits the highest specificity in pancreatic epsilon cells, making it the best candidate for targeted studies in type 1 diabetes mellitus? Identify the validated therapeutic targets for type 1 diabetes mellitus and extract their cell-type–specific embeddings from the PINNACLE dataset. Next, determine which among the pancreatic epsilon cell-activated genes in PINNACLE intersect with these targets. Calculate the average embedding of the overlapping set as a reference profile, then compute the cosine similarity between this reference and each individual candidate gene. If one gene exhibits a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance in type 1 diabetes mellitus."
"['DHRS12', 'SMIM28', 'NDUFB2', 'XAGE2', 'STK4']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFB2,"Among DHRS12, SMIM28, NDUFB2, XAGE2, and STK4, which gene shows the highest expression specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus?","Among DHRS12, SMIM28, NDUFB2, XAGE2, and STK4, which gene shows the highest expression specificity in pancreatic epsilon cells for targeting type 1 diabetes mellitus? Identify validated therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE database. Next, determine the overlap between these targets and the pancreatic epsilon cell-activated genes in PINNACLE to define the set of cell-type–specific targets. Compute the average embedding for this set, then calculate the cosine similarity of each individual target’s embedding to this average. If one gene exhibits notably higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation for its biological relevance."
"['BLOC1S3', 'ZDHHC15', 'NHLH2', 'LINC02736', 'NDUFA3']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA3,"Among the genes BLOC1S3, ZDHHC15, NHLH2, LINC02736, and NDUFA3, which one shows the highest cell-type specificity in pancreatic epsilon cells as a potential target for type 1 diabetes mellitus?","Among the genes BLOC1S3, ZDHHC15, NHLH2, LINC02736, and NDUFA3, which one shows the highest cell-type specificity in pancreatic epsilon cells as a potential target for type 1 diabetes mellitus? Identify the validated therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from PINNACLE. Next, determine which targets overlap with the pancreatic epsilon cell-activated genes in PINNACLE. Compute the average embedding for these overlapping genes to serve as a reference, and then evaluate the cosine similarity between each individual target’s embedding and this reference. If one gene displays a markedly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['TMEM258', 'SARAF', 'SRGAP3-AS4', 'FBXO41', 'UROC1']",type 1 diabetes mellitus,pancreatic epsilon cell,TMEM258,"Which gene among TMEM258, SARAF, SRGAP3-AS4, FBXO41, and UROC1 exhibits the highest expression specificity in pancreatic epsilon cells, making it the most promising candidate for targeting type 1 diabetes mellitus?","Which gene among TMEM258, SARAF, SRGAP3-AS4, FBXO41, and UROC1 exhibits the highest expression specificity in pancreatic epsilon cells, making it the most promising candidate for targeting type 1 diabetes mellitus? Identify the validated therapeutic targets for type 1 diabetes mellitus and retrieve their cell-type-specific embeddings from PINNACLE. Next, determine the subset of these targets that overlap with the genes activated in pancreatic epsilon cells. Calculate the average embedding of this overlapping set as a reference, then compute the cosine similarity between the reference and each individual target embedding. If one gene clearly shows a higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale supporting its biological relevance."
"['NPDC1', 'OOSP2', 'NDUFA1', 'CLK1', 'C10orf67']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFA1,"Among the genes NPDC1, OOSP2, NDUFA1, CLK1, and C10orf67, which one exhibits the highest specificity for pancreatic epsilon cells in the context of type 1 diabetes mellitus?","Among the genes NPDC1, OOSP2, NDUFA1, CLK1, and C10orf67, which one exhibits the highest specificity for pancreatic epsilon cells in the context of type 1 diabetes mellitus? Identify the verified therapeutic targets for type 1 diabetes mellitus and obtain their cell-type–specific embeddings from the PINNACLE database. Next, identify the genes activated in pancreatic epsilon cells from PINNACLE that overlap with these targets, thereby defining the cell-type–specific targets for type 1 diabetes. Compute the average embedding of this overlapping set as a reference, and calculate the cosine similarity between this reference and each individual target. If one gene shows a significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based rationale for its biological relevance."
"['LEKR1', 'ECH1', 'ESYT3', 'C15orf39', 'NDUFS7']",type 1 diabetes mellitus,pancreatic epsilon cell,NDUFS7,"Among the genes LEKR1, ECH1, ESYT3, C15orf39, and NDUFS7, which one exhibits the highest cell-type specificity in pancreatic epsilon cells, making it the most promising target for type 1 diabetes mellitus?","Among the genes LEKR1, ECH1, ESYT3, C15orf39, and NDUFS7, which one exhibits the highest cell-type specificity in pancreatic epsilon cells, making it the most promising target for type 1 diabetes mellitus? Using PINNACLE’s cell-type–specific embeddings, identify the verified therapeutic targets for type 1 diabetes mellitus. Next, determine which of these targets overlap with genes activated in pancreatic epsilon cells to define a set of cell-type–specific targets. Compute the average embedding for this subset and evaluate the cosine similarity between this reference and each individual target. If one gene displays significantly higher similarity than the others, nominate it as the top candidate and provide a concise, evidence-based explanation of its biological relevance."
