disease,celltype,candidate_genes,y
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['CNGA1', 'CALR3', 'PARP4', 'TBC1D25', 'HDAC2']",HDAC2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['HDAC7', 'KRTAP5-1', 'RETREG2', 'ST8SIA3', 'BCOR']",HDAC7
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['MLH3', 'ECH1', 'FKBP2', 'NDUFS6', 'PSMB2']",NDUFS6
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['SEC11A', 'TOP2B', 'STAG1', 'CTDSPL', 'PRF1']",TOP2B
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TMEM9', 'NACA4P', 'ZNF649', 'CDK4', 'PIWIL1']",CDK4
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['BLVRA', 'CDK11B', 'STK3', 'LCK', 'CBLIF']",LCK
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['MDM2', 'RPS6KA1', 'C2orf83', 'PTPRR', 'TMEM167A']",MDM2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['NDUFA8', 'PPP2R3C', 'HCLS1', 'ATOH1', 'CD151']",NDUFA8
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['NRBP1', 'LEPR', 'TUBB4B', 'TSSK1B', 'VPREB3']",TUBB4B
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['ANKHD1', 'RAD54B', 'CMC2', 'PTH', 'NDUFA12']",NDUFA12
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['IL6R', 'CDKN2D', 'SYT16', 'NR2C2AP', 'KRTAP3-2']",IL6R
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['TNFRSF4', 'TBC1D8', 'DDX19A', 'SLC37A1', 'LAMC1']",TNFRSF4
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['PTGES', 'NDUFB9', 'ELOVL5', 'XPO6', 'MAD2L2']",NDUFB9
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['NDUFB10', 'TCP11', 'DDX31', 'SH3BP5L', 'UST']",NDUFB10
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['NDUFS8', 'TNKS2', 'RPS28', 'MAGEA3', 'CTCF']",NDUFS8
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['KIF14', 'NDUFB2', 'RFLNA', 'PES1', 'ZNF490']",NDUFB2
follicular lymphoma,cd4-positive alpha-beta cytotoxic t cell,"['IMPDH1', 'AKR7A3', 'MT1JP', 'FLG', 'CGN']",IMPDH1
