disease,celltype,candidate_genes,y
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['GNAT2', 'TTLL10-AS1', 'CORO1A', 'EAF1-AS1', 'AKAP17A_ENSG00000197976']",CORO1A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['E2F5', 'HDDC2', 'CD2', 'GRIN1', 'H4C5']",CD2
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['S100A13', 'ECRG4', 'CNBP', 'HLA-C', 'PPOX']",HLA-C
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['NAA30', 'PPM1G', 'HLA-A', 'SMIM2-AS1', 'LINC02894']",HLA-A
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['VAC14', 'FLVCR1', 'FOXN3', 'RB1CC1', 'RPL3']",RPL3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['UBL4A', 'CD52', 'PAQR8', 'CFAP44', 'GABRB2']",CD52
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['C1RL-AS1', 'LTB', 'DPH3', 'ABHD13', 'TDRKH']",LTB
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['TANC1', 'SIAH2', 'CD3E', 'TRMT10C', 'CCNT1']",CD3E
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['BLACE', 'AMIGO3', 'OR2AG2', 'JAK3', 'FAM41C']",JAK3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['PCCA', 'IAPP', 'RPLP1', 'MALSU1', 'ME3']",RPLP1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['LINC00298', 'DENND3', 'SERPINB9P1', 'SRARP', 'MT-ND3']",MT-ND3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['GPSM3', 'CBX3', 'SLC6A20', 'WNT2B', 'FAAH2']",GPSM3
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ZNF83', 'VIL1', 'HIBCH', 'ABRA', 'S100A10']",S100A10
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['TTC39C-AS1', 'IDE', 'RPL21', 'SMIM36', 'CASK-AS1']",RPL21
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['PPIA', 'ZFPL1', 'TNFRSF19', 'APBA3', 'ZNF316']",PPIA
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['CCDC137', 'SLC24A3', 'C14orf119', 'NUDT14', 'IL6ST']",IL6ST
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['PAK2', 'APRT', 'GUCY2C', 'COX4I1', 'ALDH16A1']",COX4I1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['ANP32B', 'ZSWIM3', 'PRDM1', 'LINC02018', 'IFT81']",PRDM1
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['AFG3L2', 'VASH1', 'SLC28A2', 'FANK1', 'DDX6']",DDX6
rheumatoid arthritis,effector memory cd4 positive alpha beta t cell,"['MPZ', 'TUBG2', 'GLMN', 'DSEL', 'TNFAIP3']",TNFAIP3
rheumatoid arthritis,classical monocyte,"['LCORL', 'TEN1', 'SMOC1', 'IL1B', 'ZNF396']",IL1B
rheumatoid arthritis,classical monocyte,"['GDNF', 'EAF1-AS1', 'SCG5', 'ADAM17', 'DLX4']",ADAM17
