disease,celltype,candidate_genes,y
Sjogren syndrome,acinar cell of salivary gland,"['MIF', 'RTKN', 'ZNF180', 'PDSS2', 'DICER1']",MIF
Sjogren syndrome,acinar cell of salivary gland,"['CPT1A', 'CHRM3', 'LMTK3', 'MZB1', 'CCNO']",CHRM3
Sjogren syndrome,acinar cell of salivary gland,"['CERS4', 'ABCC8', 'SMARCC2', 'TTC23L', 'RNF39']",SMARCC2
Sjogren syndrome,acinar cell of salivary gland,"['FCGRT', 'NMNAT3', 'DSCAM', 'SRSF9', 'MYH7']",FCGRT
Sjogren syndrome,acinar cell of salivary gland,"['PYM1', 'SLC16A5', 'E2F3', 'RMC1', 'BRI3']",PYM1
Sjogren syndrome,acinar cell of salivary gland,"['SNX3', 'STAC2', 'HP1BP3', 'PPIA', 'NOM1']",PPIA
Sjogren syndrome,acinar cell of salivary gland,"['UVRAG', 'SNRPD3', 'PRKACA', 'ASPSCR1', 'CTSS']",CTSS
Sjogren syndrome,acinar cell of salivary gland,"['KIF2C', 'PPP2R3A', 'HLA-DPB1', 'CCDC50', 'SULF1']",HLA-DPB1
Sjogren syndrome,acinar cell of salivary gland,"['NAA35', 'FLRT3', 'OGFOD2', 'HLA-DPA1', 'CRTC3']",HLA-DPA1
Sjogren syndrome,acinar cell of salivary gland,"['MAGEA2', 'BICD1', 'JAK1', 'COL11A1', 'EPB41']",JAK1
Sjogren syndrome,acinar cell of salivary gland,"['PDE4A', 'IMPDH1', 'ARL2', 'CLCN7', 'FAM217B']",IMPDH1
Sjogren syndrome,acinar cell of salivary gland,"['TNR', 'SDC1', 'SUMF1', 'FSTL3', 'GTF2I']",GTF2I
Sjogren syndrome,acinar cell of salivary gland,"['ZNF618', 'HLA-B', 'DCAF12', 'APOBEC3F', 'COX7A2']",HLA-B
Sjogren syndrome,acinar cell of salivary gland,"['RCN1', 'N4BP2', 'SCGB2A1', 'ICAM3', 'RTRAF']",RCN1
Sjogren syndrome,acinar cell of salivary gland,"['SEMA3A', 'PIP4K2C', 'DEFB131A', 'STAT1', 'HAPLN2']",STAT1
Sjogren syndrome,acinar cell of salivary gland,"['CLCN4', 'HLA-DRA', 'RACK1', 'LTA4H', 'SLC7A2']",HLA-DRA
Sjogren syndrome,acinar cell of salivary gland,"['EIF3E', 'IFNAR1', 'KCNN1', 'PIKFYVE', 'TUFM']",IFNAR1
Sjogren syndrome,acinar cell of salivary gland,"['IMPDH2', 'ENPP3', 'COG4', 'ZNF280A', 'RAB41']",IMPDH2
Sjogren syndrome,acinar cell of salivary gland,"['FKBP1A', 'ELF4', 'AMPD3', 'VEGFD', 'CDX2']",FKBP1A
Sjogren syndrome,acinar cell of salivary gland,"['CD40', 'KIF22', 'KLK8', 'FILIP1L', 'TUBGCP4']",CD40
Sjogren syndrome,iga plasma cell,"['ZFYVE9', 'MIF', 'ELOVL5', 'RPS6', 'FAM172A']",MIF
Sjogren syndrome,iga plasma cell,"['VWA2', 'SYPL1', 'HLA-B', 'FOXJ1', 'DCT']",HLA-B
Sjogren syndrome,iga plasma cell,"['SLCO1B1', 'TRIM71', 'ZNF256', 'TNFAIP3', 'RELN']",TNFAIP3
Sjogren syndrome,iga plasma cell,"['SIX5', 'FA2H', 'PTPN21', 'CTSS', 'CLOCK']",CTSS
Sjogren syndrome,iga plasma cell,"['WASH2P', 'CARD8', 'TIAM1', 'ZNF230', 'PPIA']",PPIA
