disease,celltype,candidate_genes,y
type 1 diabetes mellitus,pancreatic epsilon cell,"['RPS26', 'AFF4', 'TMEM97', 'DNAJC6', 'ZNF208']",RPS26
type 1 diabetes mellitus,pancreatic epsilon cell,"['INS', 'RAB3B', 'CSRNP3', 'ZNF326', 'DUSP28']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['EBLN2', 'SPAG16-DT', 'HSPA12B', 'EMD', 'COMMD6']",COMMD6
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFA11', 'CDKN2C', 'PRIMPOL', 'COL12A1', 'LINC02478']",NDUFA11
type 1 diabetes mellitus,pancreatic epsilon cell,"['TVP23A', 'FGF18', 'NDUFA1', 'IFTAP', 'ACOT9']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['IFIT5', 'TMEM258', 'HHATL-AS1', 'SLC46A2', 'OR1A1']",TMEM258
type 1 diabetes mellitus,pancreatic epsilon cell,"['OXNAD1', 'NDUFA3', 'ADGRA2', 'ADAT1', 'ZNF517']",NDUFA3
type 1 diabetes mellitus,pancreatic epsilon cell,"['LINC00707', 'NDUFS7', 'PART1', 'ASB4', 'DPY30']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['PFN4', 'MYH8', 'RITA1', 'EPS15L1', 'NDUFB2']",NDUFB2
type 1 diabetes mellitus,pancreatic epsilon cell,"['SLC25A32', 'SCGB1D2', 'MT-ND1', 'OCIAD1', 'ACVR2B-AS1']",MT-ND1
type 1 diabetes mellitus,pancreatic epsilon cell,"['STOX2', 'KIDINS220', 'BEAN1', 'TGM4', 'NDUFA13']",NDUFA13
type 1 diabetes mellitus,pancreatic epsilon cell,"['LBHD2', 'GOLGA8S', 'NDUFB1', 'LRRK1', 'ADAMTS16']",NDUFB1
type 1 diabetes mellitus,pancreatic epsilon cell,"['TMSB15A', 'MORC2-AS1', 'COMMD6', 'SLC35F1', 'ARHGEF5']",COMMD6
type 1 diabetes mellitus,pancreatic epsilon cell,"['ZNF564', 'GTSF1', 'INS', 'DIP2C', 'HTR3E']",INS
type 1 diabetes mellitus,pancreatic epsilon cell,"['NDUFA1', 'AGBL4', 'SLC12A5-AS1', 'PSG8-AS1', 'TP53TG3D']",NDUFA1
type 1 diabetes mellitus,pancreatic epsilon cell,"['TRIM34', 'CLEC11A', 'PNO1', 'HS3ST6', 'NDUFS7']",NDUFS7
type 1 diabetes mellitus,pancreatic epsilon cell,"['LINC02811', 'HCFC1-AS1', 'TPRG1-AS1', 'TMEM258', 'GPN1']",TMEM258
type 1 diabetes mellitus,pancreatic epsilon cell,"['SEC14L2', 'CA11', 'NDUFA11', 'MAST3', 'GDE1']",NDUFA11
type 1 diabetes mellitus,pancreatic epsilon cell,"['DDT', 'SF3B1', 'PCDHA13', 'NCCRP1', 'RPS26']",RPS26
type 1 diabetes mellitus,pancreatic epsilon cell,"['SRPK2', 'SATB2', 'TRIM62', 'CALN1', 'NDUFA3']",NDUFA3
type 1 diabetes mellitus,pancreatic d cell,"['ZFP62', 'SMIM13', 'TPRKB', 'CPD', 'TPGS1']",TPGS1
type 1 diabetes mellitus,pancreatic d cell,"['CFL2', 'LINC01522', 'SLC39A3', 'ZNF77', 'AMZ2']",AMZ2
type 1 diabetes mellitus,pancreatic d cell,"['FAM228B', 'CHRNB3', 'DDR1', 'BBIP1', 'GADL1']",DDR1
type 1 diabetes mellitus,pancreatic d cell,"['SLIRP', 'PDLIM4', 'SELENOF', 'LINC01355', 'DHX9']",PDLIM4
type 1 diabetes mellitus,pancreatic d cell,"['GEMIN6', 'CEP68', 'LINC01684', 'PPP3CC', 'NDUFC1']",NDUFC1
type 1 diabetes mellitus,pancreatic d cell,"['NDUFA11', 'PIP5K1C', 'PLAC1', 'PLAGL2', 'WRAP53']",NDUFA11
type 1 diabetes mellitus,pancreatic d cell,"['LY6G5C', 'CCDC96', 'ABHD12', 'BRWD1', 'H2BC15']",BRWD1
type 1 diabetes mellitus,pancreatic d cell,"['C4orf17', 'FGF12', 'CHD2', 'TMEM59L', 'SRD5A1']",CHD2
type 1 diabetes mellitus,pancreatic d cell,"['RTTN', 'ARL15', 'CLDN7', 'RDH5', 'TPSD1']",CLDN7
type 1 diabetes mellitus,pancreatic d cell,"['CCDC39-AS1', 'SBNO1-AS1', 'KIF4A', 'NME7', 'TCTA']",TCTA
type 1 diabetes mellitus,pancreatic d cell,"['LINC01844', 'GPR65', 'NECTIN3', 'CACNA1D', 'LINC01638']",CACNA1D
type 1 diabetes mellitus,pancreatic d cell,"['CLHC1', 'FKBP1A', 'MMP25-AS1', 'KLF17', 'PPP1R14B-AS1']",FKBP1A
type 1 diabetes mellitus,pancreatic d cell,"['LIMK2', 'SUDS3', 'MFSD11', 'LIFR-AS1', 'C6orf118']",SUDS3
type 1 diabetes mellitus,pancreatic d cell,"['HDAC7', 'CCDC125', 'ANKRD11', 'IGFBP7', 'STOX1']",IGFBP7
type 1 diabetes mellitus,pancreatic d cell,"['PMM2', 'APOBEC3G', 'CA9', 'MRPL9', 'NDUFA8']",NDUFA8
type 1 diabetes mellitus,pancreatic d cell,"['BTRC', 'RSBN1', 'SRGAP2', 'FAR1', 'DOCK6']",RSBN1
type 1 diabetes mellitus,pancreatic d cell,"['VPS16', 'PCAT18', 'RPS18', 'LINC02382', 'MIEN1']",MIEN1
type 1 diabetes mellitus,pancreatic d cell,"['LRRC19', 'PRC1', 'ELMOD1', 'TCEAL6', 'M6PR']",M6PR
type 1 diabetes mellitus,pancreatic d cell,"['NDUFS2', 'NMRK2', 'NTF3', 'SEMA4C', 'SLC26A4-AS1']",NDUFS2
type 1 diabetes mellitus,pancreatic d cell,"['ZNF878', 'NUDT10', 'C17orf97', 'PTEN', 'BPHL']",PTEN
type 1 diabetes mellitus,pancreatic ductal cell,"['CA12', 'ZNF283', 'TBC1D9', 'LINC02004', 'IRAK4']",CA12
type 1 diabetes mellitus,pancreatic ductal cell,"['ZNF516-DT', 'SAMD9', 'SPIRE1', 'LINC01772', 'SIGLEC9']",SPIRE1
type 1 diabetes mellitus,pancreatic ductal cell,"['HLA-DQB1', 'MADD', 'FAM76A', 'PNMA8B', 'GTF3C2-AS1']",HLA-DQB1
type 1 diabetes mellitus,pancreatic ductal cell,"['SKAP2', 'OAZ2', 'FGF18', 'PAN3', 'MRPL51']",SKAP2
type 1 diabetes mellitus,pancreatic ductal cell,"['PAFAH2', 'KIAA0319L', 'SNIP1', 'PRANCR', 'NXPE2']",KIAA0319L
type 1 diabetes mellitus,pancreatic ductal cell,"['LUC7L2', 'PSG5', 'DDR1', 'NFIC', 'OS9']",DDR1
type 1 diabetes mellitus,pancreatic ductal cell,"['NDUFAF1', 'ODF3B', 'IVNS1ABP', 'C21orf58', 'LINC00957']",NDUFAF1
type 1 diabetes mellitus,pancreatic ductal cell,"['BEST4', 'TTC26', 'C4orf33', 'SPRR2F', 'LINC02634']",C4orf33
type 1 diabetes mellitus,pancreatic ductal cell,"['BTF3L4', 'PCDHB12', 'LINC01821', 'IRF2', 'SLC49A4']",IRF2
type 1 diabetes mellitus,pancreatic ductal cell,"['LINC01521', 'RPL6', 'NDUFB8', 'NHS', 'RFESD']",NDUFB8
type 1 diabetes mellitus,pancreatic ductal cell,"['FOLR1', 'CUEDC2', 'LURAP1L', 'SKP2', 'UBXN8']",LURAP1L
type 1 diabetes mellitus,pancreatic ductal cell,"['CAHM', 'FBH1', 'RNASEH1', 'ITGA6-AS1', 'ZNF805']",FBH1
type 1 diabetes mellitus,pancreatic ductal cell,"['ELAVL4', 'PPIA', 'KAT8', 'WWP1', 'ATP13A2']",PPIA
type 1 diabetes mellitus,pancreatic ductal cell,"['SEPHS1', 'LBHD1', 'MRPL12', 'COQ5', 'STEAP1']",STEAP1
type 1 diabetes mellitus,pancreatic ductal cell,"['FAT2', 'ARF4-AS1', 'LINC00184', 'SDCBP', 'MT-ND2']",MT-ND2
type 1 diabetes mellitus,pancreatic ductal cell,"['RBM12', 'KDM2B', 'UBLCP1', 'LRRC71', 'BIRC6-AS1']",UBLCP1
type 1 diabetes mellitus,pancreatic ductal cell,"['SEC14L5', 'NUDC', 'SMARCE1', 'PAFAH1B1', 'GRIN1']",SMARCE1
type 1 diabetes mellitus,pancreatic ductal cell,"['MEIG1', 'MARCHF7', 'CACNG4', 'KIAA2013', 'ADRA2C']",ADRA2C
type 1 diabetes mellitus,pancreatic ductal cell,"['SUN3', 'GET3', 'TPCN1', 'SUCO', 'TRMT44']",SUCO
type 1 diabetes mellitus,pancreatic ductal cell,"['FER1L6', 'MT-ND1', 'CSF2RA_ENSG00000198223', 'TOMM20', 'TGS1']",MT-ND1
type 1 diabetes mellitus,endothelial cell,"['TMEM60', 'RANBP3L', 'ABHD15', 'MMD', 'MTCH1']",MTCH1
type 1 diabetes mellitus,endothelial cell,"['LSM2', 'SF3B4', 'CMBL', 'EEFSEC', 'SLC1A5']",SLC1A5
type 1 diabetes mellitus,endothelial cell,"['KXD1', 'TM9SF3', 'ABTB2', 'FSCN1', 'LTBP2']",FSCN1
type 1 diabetes mellitus,endothelial cell,"['SHF', 'INS', 'SPRR1A', 'LINC01204', 'RHOV']",INS
type 1 diabetes mellitus,endothelial cell,"['NKX2-3', 'C9orf64', 'PLA2G2D', 'SMYD5', 'RBM8A']",NKX2-3
type 1 diabetes mellitus,endothelial cell,"['SEC61G', 'FAM225A', 'NDUFB4', 'RAB8A', 'TSSK4']",NDUFB4
type 1 diabetes mellitus,endothelial cell,"['LGALS8', 'IL1R1', 'BACE2-IT1', 'XAF1', 'LINC00930']",IL1R1
type 1 diabetes mellitus,endothelial cell,"['LUCAT1', 'NDUFA11', 'CCP110', 'ASTE1', 'UNC5A']",NDUFA11
type 1 diabetes mellitus,endothelial cell,"['SPTBN5', 'ARHGEF17', 'MYL6', 'ZFP30', 'NDUFC2']",NDUFC2
type 1 diabetes mellitus,endothelial cell,"['CROCC2', 'BCAS4', 'EXOSC3', 'A2M', 'MIP']",A2M
type 1 diabetes mellitus,endothelial cell,"['MPRIP-AS1', 'CTBP1-DT', 'RPUSD2', 'HSPA6', 'RBM17']",RBM17
type 1 diabetes mellitus,endothelial cell,"['PABIR2', 'H4C3', 'BIN3', 'LINC01812', 'CLTA']",H4C3
type 1 diabetes mellitus,endothelial cell,"['BRINP3', 'SLC12A9', 'RHPN2', 'EID1', 'C8orf88']",EID1
type 1 diabetes mellitus,endothelial cell,"['KLF3', 'NUGGC', 'NHSL1', 'HDAC11-AS1', 'CAPN9']",KLF3
type 1 diabetes mellitus,endothelial cell,"['MAST4-AS1', 'MAP3K20-AS1', 'NDUFC1', 'R3HDM1', 'NR2F2-AS1']",NDUFC1
type 1 diabetes mellitus,endothelial cell,"['ACAT2', 'EHMT2-AS1', 'CCNA1', 'TMEM258', 'C22orf31']",TMEM258
type 1 diabetes mellitus,endothelial cell,"['SLC10A5', 'GNL3', 'PTPN11', 'B4GALT1-AS1', 'PXMP4']",PTPN11
type 1 diabetes mellitus,endothelial cell,"['ZNF561', 'ERBIN', 'NDUFA3', 'MAGEH1', 'CDO1']",NDUFA3
type 1 diabetes mellitus,endothelial cell,"['MDS2', 'HOXD10', 'HLA-DRB1', 'CPPED1', 'LINC01123']",HLA-DRB1
type 1 diabetes mellitus,endothelial cell,"['CDK6-AS1', 'M6PR', 'PDE1C', 'LINC01742', 'CALB2']",M6PR
type 1 diabetes mellitus,unknown,"['SPRY1', 'GRM7', 'M6PR', 'NALCN', 'AGR2']",M6PR
type 1 diabetes mellitus,unknown,"['TANK-AS1', 'IL6ST', 'PPM1H', 'LINC02603', 'ARL17B']",IL6ST
type 1 diabetes mellitus,unknown,"['PRR14', 'GRAMD1C', 'DIRAS2', 'TSC1', 'CNN3']",DIRAS2
type 1 diabetes mellitus,unknown,"['LINC00336', 'TRBV28', 'NDUFAF2', 'ZNF419', 'CHD8']",NDUFAF2
type 1 diabetes mellitus,unknown,"['ZFHX2', 'PTPN9', 'TRIM3', 'IRF1', 'C1orf167-AS1']",IRF1
type 1 diabetes mellitus,unknown,"['SEC61A1', 'UBLCP1', 'RNF7', 'ICAM2', 'SRM']",UBLCP1
type 1 diabetes mellitus,unknown,"['ACYP1', 'CDC16', 'SSBP3-AS1', 'H4C3', 'LIMS3']",H4C3
type 1 diabetes mellitus,unknown,"['NOP9', 'TTC8', 'SH3GL3', 'CCDC25', 'LINC02574']",TTC8
type 1 diabetes mellitus,unknown,"['GJC2', 'CCDC73', 'MTMR3', 'CAPS', 'HNMT']",MTMR3
type 1 diabetes mellitus,unknown,"['ODF1', 'FOXN3', 'LINC00484_ENSG00000229694', 'LYST', 'WDR44']",FOXN3
type 1 diabetes mellitus,unknown,"['BRAF', 'EPHA5-AS1', 'WDR73', 'MCCD1', 'EXPH5']",BRAF
type 1 diabetes mellitus,unknown,"['TMF1', 'MCF2', 'BCL7A', 'NDUFB3', 'SDSL']",NDUFB3
type 1 diabetes mellitus,unknown,"['EIF5A2', 'ZNF470', 'ADRA2A', 'TMEM8B', 'PHKB']",ADRA2A
type 1 diabetes mellitus,unknown,"['PHF7', 'MEA1', 'TTC21B', 'PRR34-AS1', 'IQSEC1']",TTC21B
type 1 diabetes mellitus,unknown,"['OR7C1', 'PDGFRB', 'CBLL1', 'TMC5', 'POLI']",PDGFRB
type 1 diabetes mellitus,unknown,"['SYF2', 'IFT46', 'TSPAN18', 'ATAD1', 'BRD9']",ATAD1
type 1 diabetes mellitus,unknown,"['KBTBD11', 'SLC25A44', 'NOCT', 'SHOC1', 'JAZF1']",JAZF1
type 1 diabetes mellitus,unknown,"['TMEM121B', 'EIF5A', 'RHOF', 'USP21', 'LINC01798']",EIF5A
type 1 diabetes mellitus,unknown,"['SCAF11', 'GOLGA6L4', 'LINC00570', 'ARHGEF25', 'CAGE1']",SCAF11
type 1 diabetes mellitus,unknown,"['NEURL1B', 'FUT8', 'CHCHD6', 'ATXN7L3B', 'GLYCTK']",ATXN7L3B
type 1 diabetes mellitus,pancreatic a cell,"['HDLBP', 'TM2D2', 'LINC01805', 'SH2D4B', 'ZC3H8']",HDLBP
type 1 diabetes mellitus,pancreatic a cell,"['FAM186B', 'FAP', 'KEL', 'SLC35E1', 'LINC00467']",FAP
type 1 diabetes mellitus,pancreatic a cell,"['FZD2', 'YIPF6', 'SLC25A2', 'KLF3', 'CCAR1']",KLF3
type 1 diabetes mellitus,pancreatic a cell,"['FMO2', 'CTDNEP1', 'CAV2', 'OSBPL2', 'LINC01954']",CTDNEP1
type 1 diabetes mellitus,pancreatic a cell,"['REM2', 'DENND2B', 'BUB1B', 'DGCR8', 'HIPK1']",HIPK1
type 1 diabetes mellitus,pancreatic a cell,"['LSMEM2', 'ZNF138', 'CRYBB1', 'AGO1', 'ZNF133']",AGO1
type 1 diabetes mellitus,pancreatic a cell,"['LDOC1', 'NPHP3', 'SEPTIN2', 'NFIA-AS2', 'KCNQ5']",SEPTIN2
type 1 diabetes mellitus,pancreatic a cell,"['NDUFV2', 'APOBEC3C', 'NCBP2L', 'DENND2B', 'KPTN']",NDUFV2
type 1 diabetes mellitus,pancreatic a cell,"['PHF5A', 'CDKN1C', 'ZPBP', 'IL1RAPL1', 'GBP6']",CDKN1C
type 1 diabetes mellitus,pancreatic a cell,"['B4GAT1', 'MRM3', 'LINC02385', 'LINC00261', 'GSN']",GSN
type 1 diabetes mellitus,pancreatic a cell,"['ABCD1', 'ASAP1', 'CSNKA2IP', 'C14orf39', 'CEP128']",ASAP1
type 1 diabetes mellitus,pancreatic a cell,"['SRGAP2', 'GEMIN4', 'PACS1', 'EIF3K', 'ASCL2']",ASCL2
type 1 diabetes mellitus,pancreatic a cell,"['GOLGA8M_ENSG00000188626', 'EEF1AKMT1', 'ODC1', 'ZNF454', 'SNX4']",ODC1
type 1 diabetes mellitus,pancreatic a cell,"['TTC1', 'SP2', 'HBP1', 'LINC01451', 'TNIK']",HBP1
type 1 diabetes mellitus,pancreatic a cell,"['AEBP2', 'RSPH10B2', 'TRAF7', 'PPA1', 'RSBN1']",RSBN1
type 1 diabetes mellitus,pancreatic a cell,"['ITGB4', 'PTEN', 'PDXP-DT', 'DEPDC1', 'SPRY1']",PTEN
type 1 diabetes mellitus,pancreatic a cell,"['OOSP3', 'PEX11A', 'SH2D7', 'SPIRE1', 'MAIP1']",SPIRE1
type 1 diabetes mellitus,pancreatic a cell,"['NDUFB5', 'PXMP2', 'ITGA1', 'CLEC19A', 'ZBTB44']",NDUFB5
type 1 diabetes mellitus,pancreatic a cell,"['TMEM51', 'C6orf136', 'PRSS8', 'PCDHA12', 'VPS13D']",C6orf136
type 1 diabetes mellitus,pancreatic a cell,"['PGR', 'KRT27', 'FAM81A', 'PCBD1', 'FRMPD4']",PGR
type 1 diabetes mellitus,pancreatic stellate cell,"['MANCR', 'PTRHD1', 'SS18L1', 'LINC01522', 'ZNF713']",PTRHD1
type 1 diabetes mellitus,pancreatic stellate cell,"['TAPT1', 'PHLDA2', 'COPB1', 'MYO5A', 'CDK5RAP3']",CDK5RAP3
type 1 diabetes mellitus,pancreatic stellate cell,"['IL1R1', 'CDAN1', 'DHCR24', 'EME2', 'CAMTA1']",IL1R1
type 1 diabetes mellitus,pancreatic stellate cell,"['PLBD2', 'LINC02251', 'NSL1', 'TRIM17', 'IGDCC3']",NSL1
type 1 diabetes mellitus,pancreatic stellate cell,"['TPGS1', 'ZNF385D', 'ARIH1', 'ZNF107', 'PHYHIP']",TPGS1
type 1 diabetes mellitus,pancreatic stellate cell,"['LINC02817', 'KIFC2', 'S100A5', 'UBTF', 'SKAP2']",SKAP2
type 1 diabetes mellitus,pancreatic stellate cell,"['UNC13C', 'PSMC5', 'FAM181A-AS1', 'GRID2', 'INSR']",INSR
type 1 diabetes mellitus,pancreatic stellate cell,"['E2F5', 'ANKH', 'LINC02632', 'MT-ND4L', 'LINC01704']",MT-ND4L
type 1 diabetes mellitus,pancreatic stellate cell,"['ARL17B', 'NFKBIB', 'VIL1', 'DUS3L', 'FADS2']",FADS2
type 1 diabetes mellitus,pancreatic stellate cell,"['RPL32', 'NDUFA11', 'MPP7-DT', 'BOD1L1', 'DENND5A']",NDUFA11
type 1 diabetes mellitus,pancreatic stellate cell,"['PCDHGA2', 'SAFB2', 'PCSK1N', 'SH2B3', 'CLN8']",SH2B3
type 1 diabetes mellitus,pancreatic stellate cell,"['PDE7A-DT', 'FALEC', 'KANTR', 'SEPTIN9-DT', 'TAPBP']",TAPBP
type 1 diabetes mellitus,pancreatic stellate cell,"['F2R', 'FAM13C', 'UBE2D4', 'IPO4', 'SET']",F2R
type 1 diabetes mellitus,pancreatic stellate cell,"['RIMKLA', 'LARP4B', 'CATSPER3', 'ATF6B', 'MOGAT3']",ATF6B
type 1 diabetes mellitus,pancreatic stellate cell,"['PARD3', 'WDR45B', 'LTBP1', 'KAT5', 'TP73-AS2']",LTBP1
type 1 diabetes mellitus,pancreatic stellate cell,"['GPC6', 'TANGO6', 'ZNF467', 'CDKL4', 'PLXNA2']",GPC6
type 1 diabetes mellitus,pancreatic stellate cell,"['PWRN1', 'LINC01668', 'NDUFA7', 'FXN', 'LRRD1']",NDUFA7
type 1 diabetes mellitus,pancreatic stellate cell,"['MAPK4', 'ZNF836', 'ALDH2', 'FOXL2', 'TSNARE1']",ALDH2
type 1 diabetes mellitus,pancreatic stellate cell,"['PTGS2', 'KRTCAP3', 'ARHGAP5', 'EVA1A', 'GTPBP3']",PTGS2
type 1 diabetes mellitus,pancreatic stellate cell,"['SLC30A3', 'CTDNEP1', 'FHL1', 'SEC61A2', 'E2F8']",CTDNEP1
type 1 diabetes mellitus,pancreatic acinar cell,"['IRF2', 'BANF2', 'HEY1', 'SEC11C', 'LDLRAD3']",IRF2
type 1 diabetes mellitus,pancreatic acinar cell,"['VSIG8', 'LINC02026', 'MANEA-DT', 'FBXW2', 'PRDX5']",PRDX5
type 1 diabetes mellitus,pancreatic acinar cell,"['SUOX', 'C11orf87', 'ROPN1L-AS1', 'PLD5', 'RAB33B-AS1']",SUOX
type 1 diabetes mellitus,pancreatic acinar cell,"['TARDBP', 'TRIM62', 'BBS9', 'EIF3C', 'LMBRD1']",EIF3C
type 1 diabetes mellitus,pancreatic acinar cell,"['DNAAF6', 'RHEBL1', 'PDE6G', 'MARCHF5', 'CFI']",MARCHF5
type 1 diabetes mellitus,pancreatic acinar cell,"['SNRNP48', 'PPP2R3A', 'PDSS2', 'HAS2', 'PPA2']",PPP2R3A
type 1 diabetes mellitus,pancreatic acinar cell,"['LINC01991', 'PGM1', 'SETD9', 'GPR68', 'CALR3']",PGM1
type 1 diabetes mellitus,pancreatic acinar cell,"['ABTB2', 'PAM16', 'NRARP', 'SLC25A43', 'NDUFB1']",NDUFB1
type 1 diabetes mellitus,pancreatic acinar cell,"['MCM6', 'ARSG', 'PPFIA1', 'CNPY1', 'ST8SIA5']",ARSG
type 1 diabetes mellitus,pancreatic acinar cell,"['KDM3A', 'PRMT8', 'PSMD7', 'NUTM2A', 'SF1']",PSMD7
type 1 diabetes mellitus,pancreatic acinar cell,"['RELL2', 'NDUFA4', 'TDRD1', 'FAHD2A', 'ZMYND8']",NDUFA4
type 1 diabetes mellitus,pancreatic acinar cell,"['SLC12A8', 'CYP4F26P', 'AMZ2', 'COPRS', 'NAPB']",AMZ2
